,wavelength,energy,field,deltaA
0,400.0,3.1,-10,7.4615
1,410.0,3.024390243902439,-10,7.35975
2,420.0,2.952380952380953,-10,6.242
3,430.0,2.883720930232558,-10,5.140250000000001
4,440.0,2.8181818181818183,-10,4.283249999999999
5,450.0,2.7555555555555555,-10,3.5945669975000003
6,460.0,2.6956521739130435,-10,3.0614023825
7,470.0,2.6382978723404253,-10,2.5732200495
8,480.0,2.583333333333333,-10,2.1382850035
9,490.0,2.5306122448979598,-10,1.7596087211000002
10,500.0,2.48,-10,1.4431620545
11,510.0,2.431372549019608,-10,1.1854158349999997
12,520.0,2.3846153846153846,-10,0.96527303
13,530.0,2.339622641509434,-10,0.7740819075
14,540.0,2.2962962962962963,-10,0.6081169725
15,550.0,2.2545454545454544,-10,0.47540029
16,560.0,2.2142857142857144,-10,0.3672987075
17,570.0,2.175438596491228,-10,0.2781280275
18,580.0,2.1379310344827585,-10,0.21017238
19,590.0,2.101694915254237,-10,0.1621080925
20,600.0,2.066666666666667,-10,0.1270297575
21,610.0,2.0327868852459017,-10,0.10962058
22,620.0,2.0,-10,0.1006359175
23,630.0,1.968253968253968,-10,0.105129295
24,640.0,1.9375,-10,0.1185085625
25,650.0,1.907692307692308,-10,0.1386193024999999
26,660.0,1.878787878787879,-10,0.1595528225
27,670.0,1.8507462686567164,-10,0.185484679
28,680.0,1.8235294117647056,-10,0.21643787
29,690.0,1.7971014492753623,-10,0.2499882299999999
30,700.0,1.7714285714285714,-10,0.2813463265
31,710.0,1.7464788732394363,-10,0.3120523935
32,720.0,1.7222222222222223,-10,0.3402986842500001
33,730.0,1.6986301369863013,-10,0.37139975885
34,740.0,1.6756756756756757,-10,0.40308431875
35,750.0,1.653333333333333,-10,0.4334106835
36,760.0,1.631578947368421,-10,0.4622549058999999
37,770.0,1.6103896103896105,-10,0.4908947832499999
38,780.0,1.5897435897435896,-10,0.5278700475000001
39,790.0,1.5696202531645569,-10,0.5628455944999999
40,800.0,1.55,-10,0.6019290435
41,810.0,1.530864197530864,-10,0.6356804805
42,820.0,1.5121951219512195,-10,0.6705102259999999
43,830.0,1.4939759036144578,-10,0.6996334425
44,840.0,1.4761904761904765,-10,0.72953928
45,850.0,1.4588235294117646,-10,0.7498749924999999
46,860.0,1.441860465116279,-10,0.7620826925
47,870.0,1.4252873563218391,-10,0.7742768225000001
48,880.0,1.4090909090909092,-10,0.787294675
49,890.0,1.3932584269662922,-10,0.8047227542500001
50,900.0,1.3777777777777778,-10,0.8265657353
51,910.0,1.362637362637363,-10,0.806311798237748
52,920.0,1.3478260869565215,-10,0.7875961348764267
53,930.0,1.3333333333333333,-10,0.7863142401256512
54,940.0,1.319148936170213,-10,0.7423410711971664
55,950.0,1.305263157894737,-10,0.689537792302136
56,960.0,1.2916666666666667,-10,0.6249117822007894
57,970.0,1.2783505154639174,-10,0.5628836615396383
58,980.0,1.2653061224489797,-10,0.5151309618193356
59,990.0,1.2525252525252526,-10,0.5033069030828162
60,1000.0,1.24,-10,0.4754754169508329
61,1010.0,1.2277227722772277,-10,0.4727943392071652
62,1020.0,1.2156862745098038,-10,0.42392277354670116
63,1030.0,1.203883495145631,-10,0.38737835134527737
64,1040.0,1.1923076923076923,-10,0.38205090956779286
65,1050.0,1.180952380952381,-10,0.35094212362460875
66,1060.0,1.169811320754717,-10,0.310962202980791
67,1070.0,1.158878504672897,-10,0.3014510720706745
68,1080.0,1.148148148148148,-10,0.2721072218944635
69,1090.0,1.1376146788990826,-10,0.23298986002675795
70,1100.0,1.1272727272727272,-10,0.19780881749783752
71,1110.0,1.117117117117117,-10,0.17291307288450078
72,1120.0,1.1071428571428572,-10,0.15327321981123937
73,1130.0,1.0973451327433628,-10,0.12574733995163062
74,1140.0,1.087719298245614,-10,0.10912069586059446
75,1150.0,1.0782608695652174,-10,0.08040527920321415
76,1160.0,1.0689655172413792,-10,0.04279052103310402
77,1170.0,1.0598290598290598,-10,0.027188151868569453
78,1180.0,1.0508474576271187,-10,0.019189120932362136
79,1190.0,1.0420168067226891,-10,-0.00551802619766132
80,1200.0,1.0333333333333334,-10,-0.030133202506895846
81,1210.0,1.024793388429752,-10,-0.05069464817333232
82,1220.0,1.0163934426229508,-10,-0.061195353119046836
83,1230.0,1.008130081300813,-10,-0.07368384097899877
84,1240.0,1.0,-10,-0.0924707289764627
85,1250.0,0.992,-10,-0.08117942826215496
86,1260.0,0.984126984126984,-10,-0.0683041132784194
87,1270.0,0.9763779527559056,-10,-0.06396960922835901
88,1280.0,0.96875,-10,-0.08235641018273741
89,1290.0,0.9612403100775194,-10,-0.09188584398610539
90,1300.0,0.953846153846154,-10,-0.0943620877675468
91,1310.0,0.9465648854961832,-10,-0.09733664249545705
92,1320.0,0.9393939393939394,-10,-0.08749376491520847
93,1330.0,0.9323308270676692,-10,-0.08308677997214974
94,1340.0,0.9253731343283582,-10,-0.09012350790168684
