,wavelength,energy,field,deltaA
0,400.0,3.1,-10,3.53158588
1,410.0,3.024390243902439,-10,3.8090081050000006
2,420.0,2.952380952380953,-10,3.37215649
3,430.0,2.883720930232558,-10,2.8281483
4,440.0,2.8181818181818183,-10,2.36885852
5,450.0,2.7555555555555555,-10,2.0242203625
6,460.0,2.6956521739130435,-10,1.730212245
7,470.0,2.6382978723404253,-10,1.44325
8,480.0,2.583333333333333,-10,1.17825
9,490.0,2.5306122448979598,-10,0.9605
10,500.0,2.48,-10,0.7847500000000002
11,510.0,2.431372549019608,-10,0.63375
12,520.0,2.3846153846153846,-10,0.5
13,530.0,2.339622641509434,-10,0.3779999999999999
14,540.0,2.2962962962962963,-10,0.264
15,550.0,2.2545454545454544,-10,0.1669999999999999
16,560.0,2.2142857142857144,-10,0.0884999999999999
17,570.0,2.175438596491228,-10,0.0275
18,580.0,2.1379310344827585,-10,-0.0194999999999999
19,590.0,2.101694915254237,-10,-0.04775
20,600.0,2.066666666666667,-10,-0.0675
21,610.0,2.0327868852459017,-10,-0.0742499999999999
22,620.0,2.0,-10,-0.07125
23,630.0,1.968253968253968,-10,-0.0584999999999999
24,640.0,1.9375,-10,-0.04025
25,650.0,1.907692307692308,-10,-0.0167499999999999
26,660.0,1.878787878787879,-10,0.014
27,670.0,1.8507462686567164,-10,0.0504999999999999
28,680.0,1.8235294117647056,-10,0.0885
29,690.0,1.7971014492753623,-10,0.1287499999999999
30,700.0,1.7714285714285714,-10,0.172
31,710.0,1.7464788732394363,-10,0.2173507075
32,720.0,1.7222222222222223,-10,0.26274234
33,730.0,1.6986301369863013,-10,0.3110045675
34,740.0,1.6756756756756757,-10,0.3561813
35,750.0,1.653333333333333,-10,0.4020851525
36,760.0,1.631578947368421,-10,0.4469112875
37,770.0,1.6103896103896105,-10,0.4933291174999999
38,780.0,1.5897435897435896,-10,0.5469997350000001
39,790.0,1.5696202531645569,-10,0.6042611475
40,800.0,1.55,-10,0.66071026
41,810.0,1.530864197530864,-10,0.7147702775000001
42,820.0,1.5121951219512195,-10,0.7685905807500001
43,830.0,1.4939759036144578,-10,0.8204099249999999
44,840.0,1.4761904761904765,-10,0.8431970695
45,850.0,1.4588235294117646,-10,0.858446508
46,860.0,1.441860465116279,-10,0.88527718975
47,870.0,1.4252873563218391,-10,0.8911549212500001
48,880.0,1.4090909090909092,-10,0.90126382825
49,890.0,1.3932584269662922,-10,0.8907661362500001
50,900.0,1.3777777777777778,-10,0.8997369732749999
51,910.0,1.362637362637363,-10,0.9071757571463592
52,920.0,1.3478260869565215,-10,0.8572986695347043
53,930.0,1.3333333333333333,-10,0.8124264332063146
54,940.0,1.319148936170213,-10,0.8053055961545298
55,950.0,1.305263157894737,-10,0.770672276705762
56,960.0,1.2916666666666667,-10,0.7272997084241275
57,970.0,1.2783505154639174,-10,0.7188841354739594
58,980.0,1.2653061224489797,-10,0.6997872583947323
59,990.0,1.2525252525252526,-10,0.6693617254210484
60,1000.0,1.24,-10,0.5664327947228406
61,1010.0,1.2277227722772277,-10,0.4615618087284404
62,1020.0,1.2156862745098038,-10,0.434373034581744
63,1030.0,1.203883495145631,-10,0.348598925666571
64,1040.0,1.1923076923076923,-10,0.2916319703115881
65,1050.0,1.180952380952381,-10,0.25538027144932646
66,1060.0,1.169811320754717,-10,0.17640335607082752
67,1070.0,1.158878504672897,-10,0.19711861256354854
68,1080.0,1.148148148148148,-10,0.1641036725282744
69,1090.0,1.1376146788990826,-10,0.09742644069232846
70,1100.0,1.1272727272727272,-10,0.05211181711450134
71,1110.0,1.117117117117117,-10,-0.04466727181242958
72,1120.0,1.1071428571428572,-10,-0.08642146068057055
73,1130.0,1.0973451327433628,-10,-0.10810774482138773
74,1140.0,1.087719298245614,-10,-0.12073110424663962
75,1150.0,1.0782608695652174,-10,-0.1401516572085656
76,1160.0,1.0689655172413792,-10,-0.18740833608258545
77,1170.0,1.0598290598290598,-10,-0.2116840272849929
78,1180.0,1.0508474576271187,-10,-0.21297873081578808
79,1190.0,1.0420168067226891,-10,-0.2022974266867288
80,1200.0,1.0333333333333334,-10,-0.21297873081578794
81,1210.0,1.024793388429752,-10,-0.24890675379535096
82,1220.0,1.0163934426229508,-10,-0.25796967851091646
83,1230.0,1.008130081300813,-10,-0.267032603226482
84,1240.0,1.0,-10,-0.26832730675727706
85,1250.0,0.992,-10,-0.2527908643877362
86,1260.0,0.984126984126984,-10,-0.26250114086869913
87,1270.0,0.9763779527559056,-10,-0.2527908643877363
88,1280.0,0.96875,-10,-0.26055908557250657
89,1290.0,0.9612403100775194,-10,-0.23693074613549675
90,1300.0,0.953846153846154,-10,-0.22948620083342502
91,1310.0,0.9465648854961832,-10,-0.23887280143168935
92,1320.0,0.9393939393939394,-10,-0.23239928377771393
