,wavelength,energy,field,deltaA
0,400.0,3.1,-10,3.7592499999999993
1,410.0,3.024390243902439,-10,4.489
2,420.0,2.952380952380953,-10,3.9215
3,430.0,2.883720930232558,-10,3.1877115900000006
4,440.0,2.8181818181818183,-10,2.46475
5,450.0,2.7555555555555555,-10,2.031
6,460.0,2.6956521739130435,-10,1.7855
7,470.0,2.6382978723404253,-10,1.427
8,480.0,2.583333333333333,-10,1.18875
9,490.0,2.5306122448979598,-10,0.9882500000000002
10,500.0,2.48,-10,0.796
11,510.0,2.431372549019608,-10,0.6357093699999999
12,520.0,2.3846153846153846,-10,0.5153890975000001
13,530.0,2.339622641509434,-10,0.41173125
14,540.0,2.2962962962962963,-10,0.32206558
15,550.0,2.2545454545454544,-10,0.2520314549999999
16,560.0,2.2142857142857144,-10,0.1977027575
17,570.0,2.175438596491228,-10,0.15915375
18,580.0,2.1379310344827585,-10,0.139107794
19,590.0,2.101694915254237,-10,0.138139852
20,600.0,2.066666666666667,-10,0.1403546093
21,610.0,2.0327868852459017,-10,0.1521631364999999
22,620.0,2.0,-10,0.1706006772499999
23,630.0,1.968253968253968,-10,0.1941648485
24,640.0,1.9375,-10,0.2141015754974999
25,650.0,1.907692307692308,-10,0.2328895025
26,660.0,1.878787878787879,-10,0.2481651582499999
27,670.0,1.8507462686567164,-10,0.26268356525
28,680.0,1.8235294117647056,-10,0.2771207875
29,690.0,1.7971014492753623,-10,0.28796074875
30,700.0,1.7714285714285714,-10,0.29153477175
31,710.0,1.7464788732394363,-10,0.299698312425
32,720.0,1.7222222222222223,-10,0.3042550463249999
33,730.0,1.6986301369863013,-10,0.30707551725
34,740.0,1.6756756756756757,-10,0.30865088
35,750.0,1.653333333333333,-10,0.3088909175
36,760.0,1.631578947368421,-10,0.303048935
37,770.0,1.6103896103896105,-10,0.30980674
38,780.0,1.5897435897435896,-10,0.31271167
39,790.0,1.5696202531645569,-10,0.31269579
40,800.0,1.55,-10,0.3099401275
41,810.0,1.530864197530864,-10,0.319070565
42,820.0,1.5121951219512195,-10,0.3218502175
43,830.0,1.4939759036144578,-10,0.33090047
44,840.0,1.4761904761904765,-10,0.3364123175
45,850.0,1.4588235294117646,-10,0.3395454424999999
46,860.0,1.441860465116279,-10,0.3461308375
47,870.0,1.4252873563218391,-10,0.3522682149999999
48,880.0,1.4090909090909092,-10,0.3663355175
49,890.0,1.3932584269662922,-10,0.38123001
50,900.0,1.3777777777777778,-10,0.4048248475
51,910.0,1.362637362637363,-10,0.40520615
52,920.0,1.3478260869565215,-10,0.4201211749999999
53,930.0,1.3333333333333333,-10,0.4343921424999999
54,940.0,1.319148936170213,-10,0.4424369124999999
55,950.0,1.305263157894737,-10,0.4597499999999999
56,960.0,1.2916666666666667,-10,0.4615
57,970.0,1.2783505154639174,-10,0.5005
