wavelength,energy,fit,1st der,2nd der
402.0,3.08458,0.651780924034102,-0.014620386590054199,-0.002836321825606668
406.0,3.05419,0.6359618673867559,-0.016812532008089257,-0.001604134817898622
410.0,3.02439,0.618513056842263,-0.017931173166946056,-0.0006797423911441944
414.0,2.99517,0.6003633724427174,-0.018256579886515925,-9.262708570270065e-06
418.0,2.96651,0.5821872226619504,-0.01801854330990077,0.0004544785728947012
422.0,2.93839,0.5644517668335441,-0.017402792226543132,0.0007525253627367712
426.0,2.9108,0.5474580045387467,-0.016556848042325767,0.0009203369187966623
430.0,2.88372,0.5313762778042244,-0.015595349266831015,0.0009883031670051183
434.0,2.85714,0.5162767014973837,-0.014604875571979276,0.0009822303748845212
438.0,2.83105,0.5021550076607644,-0.0136483006602948,0.0009237979947878737
442.0,2.80543,0.48895426069673836,-0.012768702365075872,0.0008309874928462036
446.0,2.78027,0.4765828722994587,-0.011992857588775385,0.000718483979595516
450.0,2.75556,0.4649293178326868,-0.011334348869926786,0.0005980514582543373
454.0,2.73128,0.45387392946976834,-0.010796308552979141,0.0004788825066229497
458.0,2.70742,0.4432981158456588,-0.010373825719434345,0.0003679232085754495
462.0,2.68398,0.4330913332204849,-0.010056040222707674,0.000270174151115615
466.0,2.66094,0.42315610921969843,-0.009827947353162857,0.00018896830296777833
470.0,2.6383,0.41341139709740843,-0.009671935843800591,0.00012622659067368716
474.0,2.61603,0.4037945161669877,-0.009569081111109323,8.269198816652622e-05
478.0,2.59414,0.39426191255652393,-0.009500214809615753,5.814293579314454e-05
482.0,2.57261,0.38478895377613836,-0.009446790962700544,5.1586904755543655e-05
486.0,2.55144,0.37536895072960486,-0.009391568116275334,6.14349229427929e-05
490.0,2.53061,0.36601158176410903,-0.00931912614594451,8.565787812436863e-05
494.0,2.51012,0.3567408751293229,-0.009216235532305186,0.00012192541447607775
498.0,2.48996,0.34759288881033856,-0.00907209610306672,0.00016772823840957183
502.0,2.47012,0.33861321010826895,-0.008878461424701025,0.00022048464967663753
506.0,2.45059,0.32985438156762964,-0.008629664210363614,0.0002776321137193008
510.0,2.43137,0.3213733448908447,-0.008322557294853112,0.000336704691236628
514.0,2.41245,0.3132289803374425,-0.007956383911408063,0.00039539714093987264
518.0,2.39382,0.3054798057786937,-0.007532590189166308,0.0004516165114663907
522.0,2.37548,0.2981818870676,-0.00705459197414376,0.0005035220384237283
526.0,2.35741,0.29138699968928755,-0.0065275072606138535,0.0005495541625351224
530.0,2.33962,0.28514107077791906,-0.005957864703806437,0.0005884534848570474
534.0,2.3221,0.27948292052338763,-0.005353297868861894,0.0006192704750405125
538.0,2.30483,0.27444331274398887,-0.004722234055014714,0.00064136674860656
542.0,2.28782,0.27003984665010206,-0.004073587276576752,0.0006546162267963805
546.0,2.27106,0.266161087883086,-0.0034175711223430414,0.0006679816848261682
550.0,2.25455,0.26300216202883836,-0.002743695097023902,0.0006681818510347246
554.0,2.23827,0.2605655276143128,-0.0020828267782113663,0.000655180455413553
558.0,2.22222,0.2588396781604093,-0.001413677247889625,0.0006294003071620878
562.0,2.20641,0.25769759374862133,-0.0008134871003193315,0.0005992109012296415
566.0,2.19081,0.2571766414857603,-0.00024482892298800145,0.0005612747806743047
570.0,2.17544,0.25723465992979305,0.00028373270540989876,0.0005172653800616755
574.0,2.16028,0.25788011226365765,0.0007578975292437487,0.00046509133743277394
578.0,2.14533,0.2589810445866369,0.0011797966704841236,0.0004123069113271597
582.0,2.13058,0.2604316935247766,0.0015521268117534605,0.0003644592791376415
586.0,2.11604,0.26225751155807875,0.0018892588429516898,0.0003177714614460241
590.0,2.10169,0.264357433507889,0.0021607131690503465,0.0002775100549066604
594.0,2.08754,0.26667313465606435,0.0023815473088193637,0.00024619095370480065
598.0,2.07358,0.26919163446483724,0.0026188122650739176,0.00022284966592374817
602.0,2.0598,0.2717955695343801,0.002837439824802445,0.00021393977633121108
606.0,2.0462,0.27453470070863784,0.0030694029190878533,0.00021456894456316344
610.0,2.03279,0.2774666856791901,0.0032957714820580956,0.00021953379354034354
614.0,2.01954,0.2807585353083976,0.003540711580033321,0.00021609822275454432
618.0,2.00647,0.28452138183543696,0.003757618204204812,0.00019555024688326186
622.0,1.99357,0.2885598260481641,0.003922595971054073,0.00017100140898981692
626.0,1.98083,0.29267747765318725,0.004066236780955907,0.00015560204051262772
630.0,1.96825,0.2968355589100385,0.004223330656938589,0.00015125016403722428
634.0,1.95584,0.30111783006415027,0.004378386504597148,0.0001514097542436082
638.0,1.94357,0.3054487139583562,0.004533810379394038,0.0001610681730566453
642.0,1.93146,0.31001399895232645,0.004681579048645287,0.0001671011651711523
646.0,1.9195,0.3147993884256865,0.0048115709166203086,0.00017060537747709371
650.0,1.90769,0.3197338748226837,0.004971966714721231,0.00017641845773384013
654.0,1.89602,0.3248075084127925,0.005120592992418934,0.00018510360739135118
658.0,1.8845,0.3301571280256016,0.00530291135360953,0.00018692036364382022
662.0,1.87311,0.33592525186441496,0.005559331120855373,0.00017104246161972738
666.0,1.86186,0.34169466046735314,0.0057702958671817075,0.00016630658404519154
670.0,1.85075,0.3474791186460527,0.005978075388842198,0.0001719365157832085
674.0,1.83976,0.353375612246076,0.006175671863943353,0.00018132786244240133
678.0,1.82891,0.35942216257509135,0.0063920058618902285,0.00019200809976750426
682.0,1.81818,0.3658231291428685,0.006574779409794578,0.00018996282926884455
686.0,1.80758,0.3723194041006333,0.006770046327178353,0.00019363901506087226
690.0,1.7971,0.37909586430870246,0.00695588514737421,0.00019010569228225066
