wavelength,energy,fit,1st der,2nd der
470.0,2.6383,0.9215621175049973,-0.01055686114780934,-0.003192665470991097
475.0,2.61053,0.9095820467343575,-0.013239615491077807,-0.0022099813560450213
480.0,2.58333,0.8953750957338152,-0.015044451641446476,-0.0014303743187283422
485.0,2.5567,0.8797238635233605,-0.016156020650756952,-0.0008179106087755194
490.0,2.53061,0.8632433711650429,-0.016725696865145426,-0.0003418740313375266
495.0,2.50505,0.8464118245816821,-0.016876512444264885,2.3793602766138903e-05
500.0,2.48,0.8295967161614343,-0.01670755168729956,0.00030101352509665164
505.0,2.45545,0.8130767863019555,-0.016297843033325557,0.0005080538242357665
510.0,2.43137,0.7970603288144922,-0.01570978533528232,0.0006599772953059563
515.0,2.40777,0.7817002881431102,-0.014992143738529836,0.000769054592660278
520.0,2.38462,0.7671065616574422,-0.014182649226677158,0.000845143954031484
525.0,2.3619,0.7533558868487936,-0.013310234629078252,0.0008960387644298897
530.0,2.33962,0.7404996610991974,-0.012396938616101628,0.0009277842280795011
535.0,2.31776,0.7285700108010413,-0.011459507939990685,0.0009449644166819138
540.0,2.2963,0.7175843969812257,-0.010510726910842445,0.0009509609622975058
545.0,2.27523,0.7075490162284206,-0.009560501828942363,0.0009481846631334144
550.0,2.25455,0.698461228634905,-0.008616726826403851,0.0009382812705277942
555.0,2.23423,0.6903112186456593,-0.00768595630277143,0.0009223127254199518
560.0,2.21429,0.6830830701568729,-0.006773907870956933,0.0009009151125957261
565.0,2.19469,0.6767554139238058,-0.0058858184615885045,0.0008744346009977393
570.0,2.17544,0.6713017833240016,-0.00502667496556336,0.0008430426383899928
575.0,2.15652,0.6666907937762101,-0.004201339526304184,0.0008068316686663207
580.0,2.13793,0.6628862416380141,-0.0034145883249320948,0.000765892640092154
585.0,2.11966,0.6598472001961038,-0.00267108143327615,0.000720375572769202
590.0,2.10169,0.6575281734223364,-0.001975280041353668,0.0006705344536125702
595.0,2.08403,0.6558793524962696,-0.0013313260976629115,0.0006167577271295479
600.0,2.06667,0.654847005690621,-0.0007428981323415202,0.0005595856502901577
605.0,2.04959,0.6543740190802252,-0.0002130557649565306,0.0004997157797782419
610.0,2.03279,0.6544005936674266,0.00025591586960426425,0.00043799785991319217
615.0,2.01626,0.6548650939175221,0.0006626518119475962,0.00037541937953153347
620.0,2.0,0.6557050333668194,0.0010068343888100396,0.0003130830661181275
625.0,1.984,0.6568581749031518,0.001289294314899523,0.00025217758547579254
630.0,1.96825,0.6582637165241796,0.0015120796256325678,0.0001939427152241606
635.0,1.95276,0.6598635278526961,0.0016784875487359345,0.0001396302604158568
640.0,1.9375,0.6616033984302334,0.001793055690980738,9.046197956044796e-05
645.0,1.92248,0.6634233559263264,0.0018615100714958243,4.809597041662789e-05
650.0,1.90769,0.6660684217539564,0.0015296921649007576,-3.919997857345774e-05
655.0,1.89313,0.667046260710505,0.00171184294800446,1.229751143018822e-07
