,B,E_Z,E_Z_std_dev,m*
0,-10,0.023101649876982485,0.003818758705629815,7.975617101604052
1,-2,0.010416405979631905,0.0011050146609191441,3.537686879609154
2,-4,0.011935691223194359,0.0016100353954675178,6.174754704648591
3,-6,0.014166404765492732,0.002195409746982499,7.80367002994025
4,-8,0.017439783168736775,0.0028378263377296896,8.451935992618262
5,10,-0.016156619807261102,0.00433735452442787,11.403988955123218
6,2,-0.011003357083332704,0.0010405334846463352,3.3489763612820043
7,4,-0.011900067040501497,0.002107536276122454,6.193239524014175
8,6,-0.012695570950479386,0.002562421333345171,8.707757117162501
9,8,-0.016251070179988142,0.0036081834725955582,9.070167652639604
