,B,E_Z,E_Z_std_dev,m*
0,-10,0.1294969976818095,0.00357214436531534,1.4228122437776973
1,-2,0.027693140093869716,0.0009366308825200247,1.3306538240848826
2,-4,0.05227880702080694,0.0015083955292317314,1.4097484187869802
3,-6,0.08681796716046802,0.0027239252288498625,1.2733533382110398
4,-8,0.12722315603322307,0.0036483089578675195,1.1585935741824585
5,10,-0.1112938786663837,0.00221823457757487,1.6555260364897615
6,2,-0.02236480226284818,0.0006118975723234329,1.6476775575181521
7,4,-0.03660062890620546,0.0008616732205935784,2.013625659890144
8,6,-0.06685743610253105,0.0016392472468812539,1.6535176151676159
9,8,-0.08074068563308631,0.0020399250452250483,1.8255967225388816
