Field,MCD_1_amp_max,MCD_1_amp_min
-10.0,0.000362,0.00010562770499999999
-2.0,0.00010156078000000002,2.1624999999999997e-05
-4.0,0.00016131250000000002,9.994020499999999e-05
-6.0,0.000244375,9.162770499999997e-05
-8.0,0.00030975,8.850270499999999e-05
10.0,-3.16456575e-05,-0.000564
2.0,2.553842500000002e-06,-0.00014558666
4.0,1.0411232500000005e-05,-0.000273
6.0,1.6742390000000004e-05,-0.00036550000000000005
8.0,-1.2126000000000568e-07,-0.00045624999999999995
