wavelength,energy,-10_deltaA,-2_deltaA,-4_deltaA,-6_deltaA,-8_deltaA,0_deltaA,10_deltaA,2_deltaA,4_deltaA,6_deltaA,8_deltaA,-10_mdeg,-2_mdeg,-4_mdeg,-6_mdeg,-8_mdeg,0_mdeg,10_mdeg,2_mdeg,4_mdeg,6_mdeg,8_mdeg,-10_deltaA_diff,-2_deltaA_diff,-4_deltaA_diff,-6_deltaA_diff,-8_deltaA_diff,0_deltaA_diff,10_deltaA_diff,2_deltaA_diff,4_deltaA_diff,6_deltaA_diff,8_deltaA_diff
400.0,3.1,0.0037481875,0.0055675625,0.0095908125,0.0102164375,0.008178999999999999,0.0014547499999999999,-0.003729,-0.0049752500000000005,-0.009739250000000001,-0.01036875,-0.007766750000000001,123.622720125,183.629346375,316.324177875,336.958541625,269.759778,47.9805645,-122.989878,-164.09369550000002,-321.2199435,-341.98211249999997,-256.1629485,0.0022934375,0.0041128125,0.008136062500000001,0.0087616875,0.006724249999999999,0.0,-0.00518375,-0.00643,-0.011194,-0.011823499999999999,-0.0092215
410.0,3.024390243902439,0.003936375,0.0041616875,0.0069540625,0.008067,0.0068756875,0.0011775,-0.0038027499999999997,-0.00353775,-0.00702125,-0.00794425,-0.006581,129.82952025,137.260777125,229.35888937500002,266.065794,226.773925125,38.836304999999996,-125.4223005,-116.68207050000001,-231.57486749999998,-262.01725350000004,-217.05454199999997,0.002758875,0.0029841875,0.0057765625000000004,0.0068895,0.0056981875,0.0,-0.0049802499999999994,-0.00471525,-0.00819875,-0.00912175,-0.0077585
420.0,2.9523809523809526,0.0034461874999999996,0.0026548125,0.004523375,0.0054601875,0.0050313125,0.0009697499999999999,-0.00332625,-0.0020012500000000004,-0.00432375,-0.0052292499999999995,-0.004765500000000001,113.662156125,87.561025875,149.18995425,180.08790412500002,165.942748875,31.984294499999997,-109.7063775,-66.0052275,-142.60592250000002,-172.47112349999998,-157.17572099999998,0.0024764374999999995,0.0016850625000000001,0.0035536249999999995,0.0044904375,0.0040615625,0.0,-0.004296,-0.0029710000000000006,-0.0052935000000000005,-0.006199,-0.005735250000000001
430.0,2.883720930232558,0.0028903125,0.0017538125000000002,0.003111625,0.0038585625,0.003743,0.0008047499999999999,-0.00279575,-0.0011845,-0.0027815,-0.00356125,-0.0034937500000000003,95.328286875,57.844243875,102.62761574999999,127.263108375,123.45162599999999,26.5422645,-92.2094265,-39.067178999999996,-91.73943299999999,-117.45714749999999,-115.2308625,0.0020855625,0.0009490625000000003,0.002306875,0.0030538125,0.00293825,0.0,-0.0036005,-0.0019892499999999997,-0.00358625,-0.004366,-0.0042985
440.0,2.8181818181818183,0.002440125,0.00124625,0.002268125,0.002848,0.0029128125,0.0007167499999999999,-0.00234075,-0.00070725,-0.00185675,-0.0025295,-0.002656,80.48020274999999,41.103817500000005,74.80729875,93.93273599999999,96.070381875,23.6398485,-77.2026165,-23.326519500000003,-61.2393285,-83.427969,-87.60019199999999,0.001723375,0.0005295,0.0015513750000000002,0.00213125,0.0021960625,0.0,-0.0030575,-0.001424,-0.0025735,-0.00324625,-0.00337275
450.0,2.7555555555555555,0.00209725,0.0009510625000000001,0.0017368125,0.00220675,0.002352125,0.0006594999999999999,-0.0019775,-0.000412,-0.00130375,-0.001888,-0.0020810000000000004,69.1714995,31.367943375,57.283549875,72.7830285,77.57778675,21.751629,-65.22190499999999,-13.588584,-43.0002825,-62.270016,-68.63554200000002,0.0014377500000000002,0.00029156250000000015,0.0010773125000000001,0.00154725,0.0016926250000000001,0.0,-0.002637,-0.0010715,-0.0019632499999999997,-0.0025475,-0.0027405000000000003
460.0,2.6956521739130435,0.0018153125,0.000760375,0.001373875,0.0017726875,0.0019405,0.0005865,-0.00169525,-0.00021975,-0.00094175,-0.0014234999999999999,-0.0016489999999999999,59.872636875,25.07868825,45.313145250000005,58.466779125,64.001571,19.343943,-55.9127355,-7.2477944999999995,-31.060798499999997,-46.949877,-54.38731799999999,0.0012288125,0.00017387499999999998,0.0007873750000000001,0.0011861875,0.001354,0.0,-0.00228175,-0.00080625,-0.00152825,-0.0020099999999999996,-0.0022354999999999996
470.0,2.6382978723404253,0.0015483125,0.0006098125,0.001084375,0.001424625,0.0015851874999999998,0.0005272499999999999,-0.0014145,-9.654234e-05,-0.0006565,-0.00105725,-0.00129325,51.066442875,20.112835875000002,35.76485625,46.98698175,52.282654125,17.389759499999997,-46.653039,-3.18415945788,-21.652683000000003,-34.8702195,-42.6539715,0.0010210625,8.256250000000006e-05,0.0005571250000000001,0.000897375,0.0010579374999999999,0.0,-0.00194175,-0.0006237923399999999,-0.00118375,-0.0015845,-0.0018204999999999999
480.0,2.5833333333333335,0.0013026875,0.0005009999999999999,0.000873375,0.0011404375,0.0012965,0.0004755,-0.00116675,-5.423015e-06,-0.00044050000000000003,-0.0007852499999999999,-0.0010055,42.965239125,16.523982,28.80565425,37.613909625000005,42.761162999999996,15.682941,-38.481748499999995,-0.17886188073,-14.528571,-25.8991155,-33.16340100000001,0.0008271875,2.5499999999999915e-05,0.000397875,0.0006649375,0.0008209999999999999,0.0,-0.00164225,-0.000480923015,-0.000916,-0.00126075,-0.0014810000000000001
490.0,2.5306122448979593,0.0011015625000000001,0.00042793750000000004,0.0007079375,0.0009209374999999999,0.001067,0.00041325,-0.000959,4.6984035000000005e-05,-0.0002925,-0.00057175,-0.000788,36.331734375,14.114234625000002,23.349194625000003,30.374360625,35.191794,13.629811499999999,-31.629738000000003,1.54962744237,-9.647234999999998,-18.8574585,-25.989816,0.0006883125000000001,1.4687500000000052e-05,0.00029468750000000003,0.0005076874999999999,0.00065375,0.0,-0.00137225,-0.000366265965,-0.00070575,-0.000985,-0.00120125
