,wavelength,energy,ems,blank,absorbance,smoothed_absorbance
0,310.0,4.0,0.000488,0.001343,0.4396561906660048,0.3812962846608472
1,314.0,3.949044585987261,0.000488,0.001282,0.41946820318008804,0.4036673034788971
2,318.0,3.89937106918239,0.000488,0.001282,0.41946820318008804,0.42485492819800563
3,322.0,3.8509316770186337,0.000549,0.001343,0.38850366821862337,0.4448591588181726
4,326.0,3.803680981595092,0.000549,0.001343,0.38850366821862337,0.4636799953393982
5,330.0,3.757575757575758,0.000549,0.001465,0.4262652802400364,0.48131743776168223
6,334.0,3.712574850299401,0.000549,0.001526,0.44398218916876964,0.49777148608502486
7,338.0,3.668639053254438,0.000549,0.001709,0.49316971827064493,0.513042140309426
8,342.0,3.625730994152047,0.000549,0.001892,0.5373487876156819,0.5271294004348857
9,346.0,3.5838150289017343,0.00061,0.002136,0.5442714133457518,0.5400332664614038
10,350.0,3.5428571428571427,0.00061,0.00238,0.5912471220457449,0.5517537383889806
11,354.0,3.5028248587570623,0.000671,0.002625,0.5924067875729835,0.5622908162176158
12,358.0,3.463687150837989,0.000732,0.002808,0.5838860223993758,0.5716444999473096
13,362.0,3.425414364640884,0.000732,0.003052,0.620073448224451,0.5798147895780619
14,366.0,3.387978142076503,0.000793,0.003296,0.6187140157074744,0.5868016851098727
15,370.0,3.3513513513513513,0.000854,0.00354,0.6175453913367828,0.5926051865427422
16,374.0,3.3155080213903743,0.000916,0.003967,0.6365667268063002,0.59722529387667
17,378.0,3.2804232804232805,0.001038,0.004395,0.6267615258973516,0.6006620071116564
18,382.0,3.2460732984293195,0.00116,0.005066,0.6402071962276106,0.6029153262477014
19,386.0,3.2124352331606216,0.001404,0.006043,0.6338854864546699,0.603985251284805
20,390.0,3.1794871794871793,0.001831,0.007751,0.6266693925872351,0.6038717822229669
21,394.0,3.1472081218274113,0.00238,0.010254,0.6343163560478684,0.6025749190622129
22,398.0,3.1155778894472363,0.003174,0.013306,0.622440596691201,0.5996535401778958
23,402.0,3.084577114427861,0.004242,0.017212,0.6082606732299749,0.5943960217676112
24,406.0,3.0541871921182264,0.005493,0.021485,0.5923257589985631,0.587512976312332
25,410.0,3.024390243902439,0.006897,0.02594,0.5753097457591199,0.5777056160298979
26,414.0,2.995169082125604,0.008484,0.030762,0.5594139079795186,0.5659215987937206
27,418.0,2.9665071770334928,0.010407,0.036255,0.5420423549016093,0.5534993566652265
28,422.0,2.938388625592417,0.01239,0.041626,0.5262933735140543,0.539836793252683
29,426.0,2.9107981220657275,0.014496,0.046997,0.5108219557938547,0.526380498491016
30,430.0,2.883720930232558,0.016815,0.052612,0.4953879397920904,0.5133097332295098
31,434.0,2.857142857142857,0.019409,0.058899,0.4821047612719007,0.49953435885975545
32,438.0,2.8310502283105023,0.02237,0.065918,0.4693380379822889,0.486703474021827
33,442.0,2.8054298642533935,0.026062,0.074524,0.45628841671568576,0.4734511618997063
34,446.0,2.780269058295964,0.031006,0.086121,0.44366332132413255,0.45952170032617584
35,450.0,2.7555555555555555,0.035004,0.094788,0.4326356847039978,0.44659528103801355
36,454.0,2.7312775330396475,0.038727,0.102662,0.42339586515196825,0.4336451869979397
37,458.0,2.7074235807860263,0.042206,0.109192,0.4128166261546413,0.42053918340342855
38,462.0,2.683982683982684,0.045624,0.115296,0.40262088186542533,0.40830991401447064
39,466.0,2.6609442060085837,0.049164,0.121216,0.3919127386503747,0.3960560410788296
40,470.0,2.6382978723404253,0.053009,0.12787,0.3824190537173724,0.38466002555790696
41,474.0,2.6160337552742616,0.057404,0.135499,0.372993934305931,0.37362729240710096
42,478.0,2.594142259414226,0.062775,0.14618,0.36710123616299417,0.3631177755138373
43,482.0,2.5726141078838176,0.068604,0.158082,0.3625329835633182,0.35363702836487554
44,486.0,2.551440329218107,0.074738,0.169435,0.3554616551070018,0.3445897982722559
45,490.0,2.5306122448979593,0.082154,0.181642,0.34458756145770475,0.335984154713754
46,494.0,2.5101214574898787,0.090058,0.194581,0.3345781330483244,0.3277609830407908
47,498.0,2.4899598393574296,0.098786,0.207826,0.3230044783581134,0.3199535819388611
48,502.0,2.4701195219123506,0.108307,0.223023,0.3136931269824781,0.31246766938462983
49,506.0,2.450592885375494,0.119019,0.241517,0.30733140847253115,0.30527215852964035
50,510.0,2.4313725490196076,0.13025,0.259096,0.29868297630049545,0.29840992514718717
51,514.0,2.412451361867704,0.142091,0.277651,0.2909326712649998,0.2918303842664977
52,518.0,2.393822393822394,0.154389,0.296816,0.2838709538489521,0.28555807019802015
