wavelength,energy,-2_deltaA,-4_deltaA,0_deltaA,2_deltaA,4_deltaA,-2_mdeg,-4_mdeg,0_mdeg,2_mdeg,4_mdeg,-2_deltaA_diff,-4_deltaA_diff,0_deltaA_diff,2_deltaA_diff,4_deltaA_diff
400.0,3.1,-0.0017862500000000005,-0.0025395,-0.0017612222222222222,-0.0016179999999999996,-0.00010224999999999991,-58.9140975,-83.757789,-58.088631333333325,-53.36487599999998,-3.3724095000000034,-2.502777777777833e-05,-0.0007782777777777779,0.0,0.00014322222222222254,0.0016589722222222223
404.0,3.0693069306930694,-0.0016885000000000001,-0.0024454999999999993,-0.0014166236655555556,-0.0008817500000000002,2.8500000000000313e-05,-55.690107000000005,-80.657481,-46.72308173735333,-29.081878500000016,0.9399870000000021,-0.00027187633444444447,-0.0010288763344444437,0.0,0.0005348736655555555,0.001445123665555556
408.0,3.0392156862745097,-0.0015867500000000005,-0.0023425,-0.0011444561899999998,-0.00054475,0.0003424999999999999,-52.334188499999996,-77.260335,-37.74645405857999,-17.9669445,11.296335000000006,-0.00044229381000000074,-0.0011980438100000002,0.0,0.0005997061899999998,0.0014869561899999997
412.0,3.0097087378640777,-0.0014805121825000002,-0.002108,-0.0008736764055555556,-0.00016474999999999997,0.00069166204,-48.830252803215004,-69.526056,-28.815595208033336,-5.433784499999998,22.812397403280002,-0.0006068357769444446,-0.0012343235944444445,0.0,0.0007089264055555556,0.0015653384455555554
416.0,2.980769230769231,-0.001282602835,-0.0019695,-0.0006706111111111111,1.650000000000002e-05,0.0009272499999999997,-42.30280670397,-64.95804899999999,-22.118095666666665,0.5442030000000031,30.582559500000002,-0.0006119917238888889,-0.001298888888888889,0.0,0.0006871111111111111,0.0015978611111111107
420.0,2.9523809523809526,-0.00109125,-0.0018435,-0.0004814444444444445,0.00022625000000000032,0.00107925,-35.9916075,-60.802317,-15.87900066666667,7.46217750000001,35.5958235,-0.0006098055555555555,-0.0013620555555555556,0.0,0.0007076944444444448,0.0015606944444444444
424.0,2.9245283018867925,-0.00086775,-0.0016005,-0.0002971111111111113,0.0003889999999999996,0.0011499999999999995,-28.6201305,-52.787691,-9.799318666666665,12.829998000000003,37.9293,-0.0005706388888888888,-0.0013033888888888887,0.0,0.0006861111111111109,0.0014471111111111108
428.0,2.897196261682243,-0.00072875,-0.00136175,-0.00012388888888888866,0.0004942499999999999,0.0012235000000000002,-24.035632500000002,-44.9132385,-4.086103333333327,16.301353500000005,40.353477,-0.0006048611111111114,-0.0012378611111111112,0.0,0.0006181388888888886,0.0013473888888888889
432.0,2.8703703703703702,-0.00058066409,-0.00119775,-4.9722222222221835e-05,0.0005787499999999998,0.0012515000000000004,-19.15146301638,-39.5041905,-1.6399383333333333,19.088332500000007,41.276973,-0.0005309418677777782,-0.0011480277777777782,0.0,0.0006284722222222217,0.0013012222222222223
436.0,2.8440366972477062,-0.0004344198185,-0.00104475,3.549999999999994e-05,0.0007032499999999999,0.0012394999999999997,-14.328034453767001,-34.4579445,1.170860999999988,23.1945915,40.881189000000006,-0.00046991981849999994,-0.00108025,0.0,0.0006677499999999999,0.0012039999999999998
440.0,2.8181818181818183,-0.0002811244075,-0.0008942500000000001,0.00012877777777777757,0.0007385,0.00119425,-9.272045208165,-29.494153500000003,4.247348666666653,24.357207000000002,39.38875349999999,-0.00040990218527777757,-0.0010230277777777777,0.0,0.0006097222222222224,0.0010654722222222224
444.0,2.7927927927927927,-0.00016199999999999998,-0.00072225,0.00023050000000000002,0.0007329999999999997,0.0011840000000000002,-5.343083999999999,-23.8212495,7.602351000000006,24.17580600000001,39.050687999999994,-0.0003925,-0.00095275,0.0,0.0005024999999999997,0.0009535000000000001
448.0,2.767857142857143,-7.125000000000002e-05,-0.000562,0.0002908888888888887,0.0007399999999999998,0.00112525,-2.349967499999998,-18.535883999999996,9.59409733333333,24.40668000000001,37.11299550000001,-0.00036213888888888873,-0.0008528888888888887,0.0,0.00044911111111111107,0.0008343611111111112
452.0,2.743362831858407,-9.249999999999981e-06,-0.00042750000000000004,0.0002988888888888887,0.0006932500000000001,0.0010612500000000001,-0.30508350000000206,-14.099805000000002,9.857953333333334,22.864771500000018,35.00214749999998,-0.00030813888888888867,-0.0007263888888888887,0.0,0.0003943611111111114,0.0007623611111111114
