Field,MCD_1_amp_max,MCD_1_amp_min,MCD_2_amp_max,MCD_2_amp_min
-10.0,-2.500000000000332e-07,-0.00018381249999999995,0.00071673335875,-1.4749999999999898e-05
-2.0,2.1999999999999993e-05,-7.899999999999997e-05,0.000260751216875,-1.5124999999999948e-05
-4.0,4.337500000000001e-05,-9.949999999999998e-05,0.00040760835875000003,-5.4374999999999086e-06
-6.0,7.68749999999999e-06,-0.00014899999999999994,0.00046380251000000005,-4.768749999999999e-05
-8.0,1.3250000000000024e-05,-0.0001573125,0.0007251775099999999,-3.999999999999935e-06
10.0,9.468749999999999e-05,-3.474999999999995e-05,-6.087499999999995e-05,-0.000544125
2.0,8.25e-05,2.3437499999999967e-05,5.818749999999992e-05,-2.668750000000002e-05
4.0,4.100000000000002e-05,-2.8437499999999926e-05,-3.606249999999996e-05,-0.00023373454937499995
6.0,6.875000000000002e-05,-8.12499999999994e-06,-2.6624999999999956e-05,-0.000296540915625
8.0,7.531249999999997e-05,-3.8312499999999935e-05,-5.9374999999999966e-05,-0.00047575000000000004
