wavelength,energy,-2_deltaA,-4_deltaA,0_deltaA,2_deltaA,4_deltaA,-2_mdeg,-4_mdeg,0_mdeg,2_mdeg,4_mdeg,-2_deltaA_diff,-4_deltaA_diff,0_deltaA_diff,2_deltaA_diff,4_deltaA_diff
400.0,3.1,-0.0010310000000000002,0.0002765000000000007,-0.00029142588555555553,0.0005662500000000001,0.001200000000000001,-34.00444200000001,9.119523000000015,-9.611808557393333,18.6760575,39.57839999999999,-0.0007395741144444447,0.0005679258855555562,0.0,0.0008576758855555557,0.0014914258855555566
404.0,3.0693069306930694,-0.00022175000000000016,0.0004460000000000002,3.2407788333333335e-05,0.00028450000000000003,0.00018950000000000043,-7.313758499999992,14.709971999999993,1.0688736748099994,9.38337899999999,6.250089000000003,-0.0002541577883333335,0.0004135922116666669,0.0,0.0002520922116666667,0.0001570922116666671
408.0,3.0392156862745097,-0.0001902500000000001,0.00016549999999999985,0.00010151422277777781,0.00017049999999999986,0.00015349999999999956,-6.2748254999999915,5.45852099999999,3.3481420956566676,5.6234309999999965,5.062736999999984,-0.0002917642227777779,6.398577722222204e-05,0.0,6.898577722222205e-05,5.1985777222221747e-05
412.0,3.0097087378640777,-0.0001535,1.899999999999992e-05,7.011256277777777e-05,0.00030569450999999993,0.00027475000000000004,-5.0627369999999985,0.626657999999999,2.312452545536667,10.082416328819999,9.061804500000001,-0.00022361256277777776,-5.111256277777785e-05,0.0,0.00023558194722222216,0.00020463743722222227
416.0,2.980769230769231,-0.000177763625,-4.649999999999999e-05,7.33888888888889e-05,0.00044300000000000003,0.00042924999999999994,-5.86299987975,-1.5336630000000007,2.420512333333331,14.611025999999995,14.157523499999996,-0.0002511525138888889,-0.00011988888888888889,0.0,0.00036961111111111114,0.00035586111111111105
420.0,2.9523809523809526,-0.00011100000000000004,-0.00016175,0.00012816666666666673,0.0005354999999999997,0.0005057499999999997,-3.661002,-5.334838500000004,4.227192999999996,17.661861000000002,16.680646499999995,-0.00023916666666666677,-0.00028991666666666673,0.0,0.000407333333333333,0.00037758333333333296
424.0,2.9245283018867925,-0.000131,-0.00020724999999999997,0.00019772222222222218,0.0006247500000000003,0.0005517499999999997,-4.320642000000003,-6.835519499999997,6.521274333333338,20.60550450000001,18.197818499999997,-0.0003287222222222222,-0.00040497222222222215,0.0,0.0004270277777777781,0.00035402777777777754
428.0,2.897196261682243,-7.074999999999996e-05,-0.00021174999999999992,0.00024483333333333323,0.0006722500000000001,0.0006180000000000005,-2.3334765000000015,-6.983938500000001,8.075093000000003,22.172149500000017,20.382875999999982,-0.0003155833333333332,-0.00045658333333333315,0.0,0.0004274166666666669,0.00037316666666666726
432.0,2.8703703703703702,2.9999999999999916e-06,-0.00020774999999999982,0.00028811111111111095,0.0006684999999999994,0.00066,0.09894599999999976,-6.852010500000006,9.502480666666663,22.048466999999988,21.768119999999982,-0.000285111111111111,-0.0004958611111111108,0.0,0.00038038888888888844,0.00037188888888888905
436.0,2.8440366972477062,2.7249999999999985e-05,-0.00018449999999999977,0.0002915000000000001,0.00065225,0.0006687499999999992,0.8987595000000006,-6.085178999999997,9.614253000000005,21.512509499999993,22.056712499999975,-0.0002642500000000001,-0.00047599999999999986,0.0,0.00036074999999999996,0.0003772499999999991
440.0,2.8181818181818183,3.23079775e-05,-0.00016299999999999995,0.0003173333333333333,0.0006415000000000001,0.0006360000000000003,1.0655817139049995,-5.376066000000002,10.466287999999992,21.157952999999992,20.976551999999998,-0.00028502535583333334,-0.00048033333333333326,0.0,0.00032416666666666683,0.00031866666666666697
444.0,2.7927927927927927,5.863513e-05,-0.0001512499999999999,0.0003383888888888887,0.0006264999999999999,0.0006125000000000002,1.9339038576600003,-4.988527500000004,11.160742333333324,20.663222999999988,20.201475000000016,-0.00027975375888888873,-0.0004896388888888886,0.0,0.00028811111111111116,0.0002741111111111115
448.0,2.767857142857143,7.621278867500002e-05,-0.00013900000000000002,0.0003334444444444446,0.0005752500000000002,0.0005764999999999998,2.51365019607885,-4.5844980000000035,10.997664666666658,18.972895499999993,19.014123000000012,-0.00025723165576944457,-0.0004724444444444446,0.0,0.00024180555555555565,0.00024305555555555517
452.0,2.743362831858407,0.00010913336999999999,-0.00011699999999999992,0.0003575555555555556,0.0005580000000000003,0.0005514999999999999,3.5994368093399993,-3.8588939999999923,11.792897333333336,18.403956000000022,18.18957300000001,-0.0002484221855555556,-0.00047455555555555554,0.0,0.00020044444444444471,0.00019394444444444429
456.0,2.719298245614035,0.000123,-9.15e-05,0.000355611111111111,0.0005430000000000001,0.0005439999999999998,4.056786000000001,-3.0178530000000023,11.72876566666666,17.909226000000004,17.942208000000008,-0.000232611111111111,-0.000447111111111111,0.0,0.00018738888888888906,0.00018838888888888876
460.0,2.6956521739130435,0.00013725,-5.350000000000016e-05,0.0003528888888888889,0.0005167500000000003,0.0005292500000000002,4.5267795,-1.7645370000000007,11.638981333333334,17.043448499999997,17.455723500000005,-0.0002156388888888889,-0.0004063888888888891,0.0,0.00016386111111111137,0.0001763611111111113
464.0,2.6724137931034484,0.00015400000000000006,-1.9500000000000095e-05,0.0003510000000000002,0.00049825,0.0004957500000000001,5.0792280000000005,-0.6431490000000011,11.576681999999998,16.433281499999993,16.350826499999997,-0.00019700000000000013,-0.0003705000000000003,0.0,0.0001472499999999998,0.0001447499999999999
468.0,2.6495726495726495,0.00017125000000000007,1.1749999999999987e-05,0.0003539444444444445,0.0004792500000000001,0.00047824999999999994,5.648167500000003,0.3875384999999998,11.67379566666667,15.8066235,15.773641499999997,-0.00018269444444444442,-0.0003421944444444445,0.0,0.0001253055555555556,0.00012430555555555545
472.0,2.6271186440677967,0.00017399999999999995,3.400000000000001e-05,0.0003527777777777778,0.00046199999999999974,0.00046225,5.738868,1.1213880000000005,11.635316666666661,15.237683999999994,15.245929500000017,-0.00017877777777777786,-0.0003187777777777778,0.0,0.00010922222222222193,0.00010947222222222218
476.0,2.6050420168067228,0.0002059999999999999,5.18199425e-05,0.00035127777777777783,0.0004429999999999998,0.00042025000000000005,6.794291999999999,1.709125343535,11.585843666666669,14.611026000000003,13.860685500000017,-0.00014527777777777792,-0.0002994578352777778,0.0,9.172222222222199e-05,6.897222222222222e-05
480.0,2.5833333333333335,0.00021874999999999992,6.7937128e-05,0.0003362777777777778,0.00042625,0.0003962499999999999,7.214812499999997,2.240702355696,11.091113666666676,14.058577499999998,13.069117499999997,-0.00011752777777777787,-0.0002683406497777778,0.0,8.997222222222219e-05,5.997222222222211e-05
484.0,2.56198347107438,0.000232,7.064475e-05,0.00032788888888888863,0.0003945000000000001,0.0003732500000000003,7.651824000000001,2.3300051445000003,10.814431333333335,13.011399000000004,12.310531500000003,-9.588888888888863e-05,-0.0002572441388888886,0.0,6.661111111111147e-05,4.536111111111169e-05
488.0,2.540983606557377,0.00023249999999999996,8.500000000000003e-05,0.00032972222222222235,0.0003682500000000001,0.00032550000000000027,7.668315,2.803470000000001,10.87489833333333,12.145621500000004,10.735641000000001,-9.722222222222239e-05,-0.00024472222222222235,0.0,3.8527777777777735e-05,-4.222222222222084e-06
492.0,2.5203252032520327,0.0002327500000000001,0.00010450000000000005,0.000318388888888889,0.00035325000000000005,0.0002852499999999999,7.676560500000001,3.4466189999999983,10.501102333333328,11.6508915,9.408115499999994,-8.56388888888889e-05,-0.00021388888888888895,0.0,3.486111111111105e-05,-3.313888888888908e-05
496.0,2.5,0.00022825000000000005,0.00010350000000000002,0.00029438888888888863,0.00032899999999999987,0.00025624999999999997,7.5281415,3.4136369999999996,9.709534333333334,10.851078000000001,8.45163749999999,-6.613888888888858e-05,-0.0001908888888888886,0.0,3.4611111111111236e-05,-3.813888888888866e-05
500.0,2.48,0.0002214999999999999,9.874999999999999e-05,0.0002710000000000001,0.0003162500000000001,0.0002247499999999999,7.305513000000001,3.256972499999998,8.938122,10.430557499999999,7.412704499999997,-4.950000000000017e-05,-0.0001722500000000001,0.0,4.525000000000004e-05,-4.6250000000000176e-05
504.0,2.4603174603174605,0.00021025000000000004,0.00011050000000000003,0.0002602222222222221,0.00031174999999999974,0.00019550000000000004,6.934465499999998,3.644510999999996,8.582649333333336,10.282138499999995,6.447980999999999,-4.9972222222222085e-05,-0.0001497222222222221,0.0,5.152777777777762e-05,-6.472222222222209e-05
508.0,2.440944881889764,0.00020475000000000002,0.00012024999999999991,0.00026055555555555554,0.00028025,0.00018449999999999999,6.753064499999997,3.9660855,8.593643333333333,9.243205499999995,6.085179000000004,-5.5805555555555524e-05,-0.00014030555555555563,0.0,1.969444444444447e-05,-7.605555555555556e-05
512.0,2.421875,0.00020800000000000007,0.0001357499999999999,0.00024622222222222233,0.000254,0.00016649999999999998,6.8602560000000015,4.477306500000001,8.120901333333336,8.377427999999995,5.491503000000002,-3.822222222222226e-05,-0.00011047222222222242,0.0,7.777777777777666e-06,-7.972222222222235e-05
516.0,2.4031007751937983,0.00020774999999999993,0.0001322500000000001,0.00022883333333333333,0.00023499999999999997,0.00014225000000000002,6.852010499999999,4.361869500000001,7.547380999999998,7.750769999999999,4.691689499999999,-2.1083333333333403e-05,-9.658333333333323e-05,0.0,6.166666666666636e-06,-8.658333333333331e-05
520.0,2.3846153846153846,0.00019999999999999998,0.00012849999999999993,0.00021605555555555554,0.0002124999999999999,0.000118,6.596400000000003,4.238186999999996,7.125944333333335,7.008674999999998,3.891876,-1.605555555555556e-05,-8.755555555555562e-05,0.0,-3.555555555555636e-06,-9.805555555555555e-05
524.0,2.366412213740458,0.00018974999999999998,0.00013750000000000004,0.00021005555555555545,0.0001935,0.00010375,6.258334500000004,4.535024999999997,6.928052333333332,6.382017000000001,3.421882499999999,-2.0305555555555474e-05,-7.255555555555542e-05,0.0,-1.6555555555555464e-05,-0.00010630555555555545
528.0,2.3484848484848486,0.00018024999999999996,0.00014274999999999997,0.00020183333333333327,0.00018025000000000007,9.25e-05,5.945005500000001,4.708180499999997,6.656866999999998,5.945005499999999,3.0508349999999984,-2.1583333333333307e-05,-5.90833333333333e-05,0.0,-2.15833333333332e-05,-0.00010933333333333327
532.0,2.330827067669173,0.00018375,0.00013900000000000002,0.00019049999999999991,0.00016900000000000004,7.557073e-05,6.060442500000001,4.5844980000000035,6.283071000000001,5.573957999999999,2.4924738168599996,-6.74999999999992e-06,-5.1499999999999897e-05,0.0,-2.1499999999999872e-05,-0.00011492926999999992
536.0,2.3134328358208953,0.00017500000000000003,0.00013100000000000004,0.00017961111111111113,0.00015500000000000005,5.9259375249999994e-05,5.771850000000002,4.320641999999999,5.923933666666667,5.112210000000001,1.9544927144954998,-4.611111111111103e-06,-4.861111111111109e-05,0.0,-2.4611111111111074e-05,-0.00012035173586111113
540.0,2.2962962962962963,0.00015924999999999994,0.00013700000000000008,0.00017005555555555554,0.00013856617749999998,3.6845437500000004e-05,5.252383499999999,4.518533999999999,5.608772333333335,4.570189666305,1.2152362196249997,-1.0805555555555595e-05,-3.305555555555546e-05,0.0,-3.148937805555555e-05,-0.00013321011805555555
544.0,2.2794117647058822,0.00015550000000000004,0.00013600000000000005,0.00016711111111111112,0.00012740845074999998,2.6658069999999993e-05,5.1287009999999995,4.4855520000000055,5.51165866666667,4.2021855226365,0.8792364647399995,-1.1611111111111083e-05,-3.111111111111107e-05,0.0,-3.970266036111114e-05,-0.00014045304111111112
548.0,2.2627737226277373,0.0001585,0.00013825000000000003,0.00015677433722222222,0.000109396695,1.324999999999997e-05,5.227646999999999,4.5597615000000005,5.170731190263333,3.6081217944899997,0.43701150000000055,1.725662777777784e-06,-1.8524337222222193e-05,0.0,-4.7377642222222224e-05,-0.00014352433722222225
552.0,2.246376811594203,0.00015649999999999996,0.00013125000000000007,0.00014252799000000001,8.76905475e-05,-9.500000000000014e-06,5.161682999999998,4.3288875,4.70085816618,2.892209637645,-0.3133290000000004,1.397200999999994e-05,-1.1277989999999941e-05,0.0,-5.483744250000001e-05,-0.00015202799000000003
556.0,2.2302158273381294,0.00014574999999999996,0.00012399999999999998,0.00013220380872222223,7.88738375e-05,-2.4749999999999978e-05,4.807126500000001,4.089767999999999,4.360346019276332,2.6014169084250005,-0.8163044999999993,1.3546191277777738e-05,-8.203808722222249e-06,0.0,-5.3329971222222224e-05,-0.0001569538087222222
