,B,E_Z,E_Z_std_dev,m*
0,-10,0.029994100565107314,0.0013793589848894036,6.142871776874415
1,-2,0.01306846834357192,0.0011668294385068418,2.819762943753985
2,-4,0.01587432451608425,0.0008521149448816808,4.64271506223636
3,-6,0.018864733003250183,0.000866155816924456,5.860138507204521
4,-8,0.02397573312296354,0.0010194920302864078,6.147880038176075
5,10,-0.03161971468499675,0.0019490979263451457,5.827058076572572
6,2,-0.013930146119435587,0.0009951635478212353,2.6453407201100627
7,4,-0.01670044456763768,0.0008748943965515162,4.41305410973723
8,6,-0.0208973976241466,0.0011004462881407935,5.290129914202318
9,8,-0.026022243377527596,0.0014010251993158088,5.6643821567896335
