,B,E_Z,E_Z_std_dev,m*
0,-10,0.11281724114015967,0.009139917740764574,1.6331715965756144
1,-2,0.026714092995953342,0.005084793940584706,1.3794210708335923
2,-4,0.04096579910741473,0.00706521851331693,1.7990608541629234
3,-6,0.06808934320250279,0.009732104187105234,1.6236013317340219
4,-8,0.08591496813752156,0.007194153184002015,1.7156490220815284
5,10,-0.11265405041896577,0.00499635887117587,1.6355374098747135
6,2,-0.01692614902425829,0.0029952020697290695,2.1771037649505103
7,4,-0.02897920946442477,0.0056119213888582405,2.5432013811186684
8,6,-0.053217666068216395,0.006639902713622402,2.077316734611611
9,8,-0.08070111211265027,0.006918780528709792,1.826491943029852
