wavelength,energy,-2_deltaA,-4_deltaA,-6_deltaA,0_deltaA,2_deltaA,4_deltaA,6_deltaA,-2_mdeg,-4_mdeg,-6_mdeg,0_mdeg,2_mdeg,4_mdeg,6_mdeg,-2_deltaA_diff,-4_deltaA_diff,-6_deltaA_diff,0_deltaA_diff,2_deltaA_diff,4_deltaA_diff,6_deltaA_diff
220.0,5.636363636363637,-0.001681,0.00020974999999999998,-0.00075,-0.0015955000000000001,-0.0014827500000000001,0.00034325,-0.0018030000000000003,-55.442742,6.9179745,-24.7365,-52.622781,-48.90406050000001,11.3210715,-59.46654600000001,-8.549999999999986e-05,0.00180525,0.0008455000000000001,0.0,0.00011275,0.0019387500000000002,-0.00020750000000000022
224.0,5.535714285714286,-0.005287999999999999,-0.00041925000000000035,-9.049999999999998e-05,-0.0017785000000000001,-0.0026912499999999996,-0.0013777499999999999,-0.00269825,-174.408816,-13.827703500000013,-2.984871000000002,-58.658487,-88.76280750000001,-45.4409505,-88.99368150000001,-0.003509499999999999,0.0013592499999999998,0.0016880000000000003,0.0,-0.0009127499999999995,0.0004007500000000003,-0.00091975
228.0,5.43859649122807,-0.0038715,-0.0002092499999999998,0.0,-0.00251125,-0.0014125000000000001,-0.0018835,-0.00310975,-127.68981300000002,-6.9014834999999835,1.7763568394002505e-15,-82.82604750000002,-46.587075,-62.121596999999994,-102.5657745,-0.00136025,0.0023020000000000002,0.00251125,0.0,0.00109875,0.00062775,-0.0005985000000000001
232.0,5.344827586206897,-0.004191,0.000523,2.875000000000002e-05,-0.0029785,-0.0023597500000000003,-0.00321425,-0.0036125,-138.227562,17.249586000000008,0.9482325000000031,-98.23688700000001,-77.82927450000001,-106.0123935,-119.14747499999999,-0.0012125000000000005,0.0035015,0.00300725,0.0,0.0006187499999999995,-0.00023575000000000028,-0.000634
236.0,5.254237288135593,-0.0044355,8.125000000000016e-05,-0.0008462500000000001,-0.0021302499999999998,-0.0013835,0.00032549999999999994,-0.0016887500000000001,-146.291661,2.679787499999996,-27.911017499999993,-70.2599055,-45.63059700000001,10.735641000000001,-55.698352500000006,-0.0023052500000000004,0.0022115,0.0012839999999999996,0.0,0.0007467499999999998,0.0024557499999999996,0.0004414999999999996
240.0,5.166666666666667,-0.0009932500000000002,-0.00033724999999999993,-0.0015172500000000002,-0.00018825,-0.0026214999999999997,0.0011412500000000001,-0.0015110000000000004,-32.7593715,-11.123179499999996,-50.041939500000005,-6.208861500000002,-86.462313,37.640707500000005,-49.835801999999994,-0.0008050000000000002,-0.00014899999999999994,-0.001329,0.0,-0.0024332499999999996,0.0013295000000000002,-0.0013227500000000004
244.0,5.081967213114754,0.0005947500000000007,0.00027625,-0.0029645,0.0008865,-0.003284,-0.0008489999999999999,0.00038325000000000034,19.616044500000044,9.1112775,-97.775139,29.238543,-108.31288800000002,-28.001717999999983,12.640351500000023,-0.00029174999999999937,-0.00061025,-0.0038510000000000003,0.0,-0.0041705,-0.0017355,-0.0005032499999999997
248.0,5.0,0.003400499999999999,0.0015789999999999992,-0.00535425,-0.0004475000000000001,-0.00512725,-0.00217,0.003187249999999999,112.15529100000003,52.07857799999999,-176.5938735,-14.759445000000003,-169.10695950000002,-71.57093999999998,105.12187949999998,0.003847999999999999,0.0020264999999999992,-0.00490675,0.0,-0.00467975,-0.0017225,0.003634749999999999
252.0,4.920634920634921,0.00400675,0.0028715000000000004,-0.004984,8.275000000000003e-05,-0.004938000000000001,-0.003074,0.0029049999999999987,132.15062849999998,94.707813,-164.38228799999996,2.7292605000000005,-162.865116,-101.38666799999999,95.81271000000004,0.0039239999999999995,0.0027887500000000004,-0.00506675,0.0,-0.005020750000000002,-0.00315675,0.002822249999999999
256.0,4.84375,0.0039664999999999995,0.00501075,-0.0036102500000000006,0.00014650878750000005,-0.0033050000000000006,-0.004753,0.0010770000000000016,130.82310300000006,165.2645565,-119.07326549999999,4.832152829325002,-109.00550999999996,-156.76344600000004,35.521614,0.0038199912124999994,0.004864241212499999,-0.0037567587875000008,0.0,-0.003451508787500001,-0.0048995087875000004,0.0009304912125000015
