wavelength,energy,-2_absorption,-4_absorption,0_absorption,2_absorption,4_absorption,-2_abs_diff,-4_abs_diff,0_abs_diff,2_abs_diff,4_abs_diff
400.0,3.1,0.7822278603189805,0.7920213359839694,0.789476510708742,0.7804637500078213,0.7982307949326746,-0.007248650389761524,0.0025448252752273692,0.0,-0.009012760700920719,0.00875428422393254
404.0,3.0693069306930694,0.7793820593328258,0.7894187050196708,0.7875333495891272,0.7774967048407542,0.7720901675352398,-0.008151290256301458,0.0018853554305435782,0.0,-0.01003664474837307,-0.015443182053887394
408.0,3.0392156862745097,0.7747153438862562,0.7841201308245933,0.78248343697057,0.7743742425068985,0.7664921150254231,-0.00776809308431381,0.001636693854023319,0.0,-0.008109194463671532,-0.015991321945146852
412.0,3.0097087378640777,0.7710727832211948,0.7796917690367602,0.7774041222620982,0.7698428451640422,0.7617277861803433,-0.006331339040903439,0.0022876467746619777,0.0,-0.007561277098055985,-0.015676336081754894
416.0,2.980769230769231,0.7664940893712597,0.7760156423294164,0.7731816106434239,0.7654660413404801,0.7585462595044812,-0.00668752127216421,0.0028340316859924997,0.0,-0.007715569302943814,-0.014635351138942765
420.0,2.9523809523809526,0.7636810833046939,0.7731467450030067,0.7701765730684436,0.7618316419982871,0.7553158829024089,-0.0064954897637496956,0.0029701719345631705,0.0,-0.008344931070156436,-0.01486069016603464
424.0,2.9245283018867925,0.7620174442736869,0.7707717722575049,0.7676564522171387,0.7599840028492171,0.7534522882016774,-0.005639007943451846,0.0031153200403661874,0.0,-0.007672449367921663,-0.014204164015461318
428.0,2.897196261682243,0.7607455550612336,0.7695555492446591,0.7664917788702588,0.7589116432259622,0.7521185959234276,-0.005746223809025119,0.0030637703744003097,0.0,-0.007580135644296604,-0.014373182946831209
432.0,2.8703703703703702,0.760376390814715,0.7688429903452192,0.7662965070241621,0.7580112503577989,0.7517001706893862,-0.005920116209447102,0.0025464833210571136,0.0,-0.00828525666636315,-0.014596336334775861
436.0,2.8440366972477062,0.7602062466172701,0.7687565139715342,0.7662598188757059,0.7574309574475913,0.751302584328257,-0.006053572258435835,0.002496695095828283,0.0,-0.008828861428114676,-0.014957234547448905
440.0,2.8181818181818183,0.7608680705100823,0.7690348020084554,0.7664006922178486,0.7578652912982395,0.7512671474423569,-0.00553262170776625,0.0026341097906068534,0.0,-0.008535400919609026,-0.01513354477549167
444.0,2.7927927927927927,0.7625456867140505,0.7704818827519466,0.7681763601358222,0.760255101285614,0.7527092747645316,-0.005630673421771704,0.002305522616124378,0.0,-0.007921258850208224,-0.015467085371290601
448.0,2.767857142857143,0.7651082399910665,0.7726638995469681,0.7702903888250894,0.7624298763193804,0.7544027237043223,-0.005182148834022904,0.0023735107218787466,0.0,-0.007860512505708961,-0.015887665120767114
452.0,2.743362831858407,0.7654108204208319,0.7725603462094952,0.7709528173178608,0.7623053907697022,0.7542296679226412,-0.005541996897028945,0.0016075288916344022,0.0,-0.008647426548158643,-0.016723149395219572
456.0,2.719298245614035,0.7641057270575873,0.7706295648065566,0.7696243960168643,0.7605065538382314,0.7528704914882207,-0.0055186689592769955,0.0010051687896923678,0.0,-0.009117842178632873,-0.01675390452864356
460.0,2.6956521739130435,0.7614814698688632,0.767694516475032,0.7672253864890186,0.7567663469551162,0.7497224253728987,-0.005743916620155387,0.0004691299860133391,0.0,-0.01045903953390237,-0.01750296111611993
464.0,2.6724137931034484,0.7587175515880429,0.765265918799497,0.7646420148788737,0.7538842930807301,0.7466583320735474,-0.00592446329083085,0.000623903920623281,0.0,-0.010757721798143605,-0.017983682805326362
468.0,2.6495726495726495,0.7562082312501259,0.7622788051481262,0.762170592435419,0.7512437701017358,0.7437194953959401,-0.00596236118529303,0.00010821271270722299,0.0,-0.01092682233368314,-0.018451097039478892
472.0,2.6271186440677967,0.753764289482538,0.7592732836325284,0.7595880220301219,0.7488198952404586,0.7407935652743143,-0.0058237325475838375,-0.00031473839759343925,0.0,-0.010768126789663324,-0.018794456755807598
476.0,2.6050420168067228,0.751491778073492,0.7576127573051328,0.7579792952089324,0.7465458955639019,0.7383215906191034,-0.006487517135440379,-0.00036653790379959084,0.0,-0.011433399645030429,-0.01965770458982896
480.0,2.5833333333333335,0.7500907138237523,0.7564540774227431,0.7566321093588657,0.744885160494297,0.7371518446321161,-0.006541395535113459,-0.00017803193612264678,0.0,-0.01174694886456873,-0.019480264726749574
484.0,2.56198347107438,0.749327514493652,0.756045124603858,0.7560131140910964,0.744101440565655,0.7365952908113547,-0.006685599597444414,3.201051276158218e-05,0.0,-0.011911673525441424,-0.01941782327974173
488.0,2.540983606557377,0.750162804294024,0.7558414095924819,0.7561861793070443,0.7440649891759648,0.7357790778979674,-0.0060233750130203045,-0.00034476971456243177,0.0,-0.012121190131079596,-0.020407101409076978
492.0,2.5203252032520327,0.75117704473011,0.7563570241925828,0.757070978933932,0.7444680214901183,0.7345708882874231,-0.005893934203822004,-0.0007139547413492764,0.0,-0.01260295744381379,-0.02250009064650893
496.0,2.5,0.752751123270869,0.7574813912043854,0.7581692609509716,0.7455657114381407,0.7347384292794241,-0.005418137680102575,-0.0006878697465861894,0.0,-0.012603549512830936,-0.02343083167154747
500.0,2.48,0.7545040134992387,0.7592630883029785,0.7598584298201367,0.7467473732999714,0.7361268529372536,-0.005354416320898059,-0.0005953415171582321,0.0,-0.01311105652016531,-0.023731576882883187
