wavelength,energy,-10_deltaA,-2_deltaA,-4_deltaA,-6_deltaA,-8_deltaA,0_deltaA,10_deltaA,2_deltaA,4_deltaA,6_deltaA,8_deltaA,-10_mdeg,-2_mdeg,-4_mdeg,-6_mdeg,-8_mdeg,0_mdeg,10_mdeg,2_mdeg,4_mdeg,6_mdeg,8_mdeg,-10_deltaA_diff,-2_deltaA_diff,-4_deltaA_diff,-6_deltaA_diff,-8_deltaA_diff,0_deltaA_diff,10_deltaA_diff,2_deltaA_diff,4_deltaA_diff,6_deltaA_diff,8_deltaA_diff
550.0,2.2545454545454544,0.00044899999999999996,5.8530559999999995e-05,0.0001685,0.0002705,0.00033975,-2.6400289999999998e-05,-0.00048075,-0.00012524999999999998,-0.00021250000000000002,-0.0002835,-0.00037624999999999996,14.808917999999998,1.9304549299199998,5.557467,8.921631,11.2056345,-0.87073436478,-15.8560965,-4.1309955,-7.008675,-9.350397,-12.4094775,0.00047540029,8.493085e-05,0.00019490029,0.00029690029000000004,0.00036615029,0.0,-0.00045434971000000003,-9.884970999999998e-05,-0.00018609971000000002,-0.00025709971,-0.00034984970999999993
560.0,2.2142857142857144,0.00034225,3.1138634999999996e-05,0.0001125,0.0001885,0.00024400000000000002,-2.50487075e-05,-0.00036950000000000004,-9.2478765e-05,-0.000154,-0.00020425,-0.00027925,11.288089500000002,1.02701445957,3.7104749999999997,6.217107,8.047608,-0.826156470765,-12.186849,-3.0501346272300003,-5.079228,-6.7365735,-9.2102235,0.0003672987075,5.6187342499999996e-05,0.0001375487075,0.0002135487075,0.0002690487075,0.0,-0.00034445129250000004,-6.74300575e-05,-0.0001289512925,-0.0001792012925,-0.0002542012925
570.0,2.175438596491228,0.000254,1.0551658000000001e-05,7.097727750000001e-05,0.000126,0.00016925000000000002,-2.4128027500000002e-05,-0.000285,-7.14230125e-05,-0.000114,-0.000144,-0.00020575,8.377428,0.348014784156,2.340972566505,4.155732,5.5822035,-0.7957906030049999,-9.39987,-2.3556737982750002,-3.759948,-4.749408,-6.786046499999999,0.0002781280275,3.46796855e-05,9.5105305e-05,0.0001501280275,0.00019337802750000002,0.0,-0.0002608719725,-4.7294985e-05,-8.987197250000001e-05,-0.00011987197250000001,-0.0001816219725
580.0,2.1379310344827585,0.00018775,-7.772745e-06,3.9987725e-05,8.06999425e-05,0.00011025,-2.242238e-05,-0.0002205,-5.571939e-05,-8.47462525e-05,-0.0001026563525,-0.00014875,6.192370500000001,-0.25636067559000003,1.3188751459499999,2.661645503535,3.6362655000000004,-0.73953493716,-7.272531,-1.83773692098,-2.795100899955,-3.385811818155,-4.9060725000000005,0.00021017238,1.4649634999999999e-05,6.2410105e-05,0.00010312232249999999,0.00013267238,0.0,-0.00019807762,-3.3297010000000004e-05,-6.23238725e-05,-8.02339725e-05,-0.00012632762000000001
590.0,2.1016949152542375,0.00014125,-1.71783125e-05,1.9517052499999997e-05,4.880727e-05,7.110736e-05,-2.08580925e-05,-0.000172,-4.38219625e-05,-6.419753250000001e-05,-7.374853749999999e-05,-0.00010774999999999999,4.6587075,-0.5665751028749999,0.643711425555,1.60976137914,2.34526294752,-0.6879416068349999,-5.672904000000001,-1.4453359671750001,-2.117363016915,-2.432374263825,-3.5538105,0.00016210809249999998,3.67978e-06,4.0375144999999995e-05,6.966536249999999e-05,9.196545249999999e-05,0.0,-0.00015114190750000001,-2.2963870000000003e-05,-4.333944000000001e-05,-5.2890444999999994e-05,-8.68919075e-05
600.0,2.066666666666667,0.00010774999999999999,-2.2147347500000004e-05,7.1301937499999995e-06,2.8824455e-05,4.5143027499999996e-05,-1.92797575e-05,-0.00014225000000000002,-3.6687495e-05,-5.19526125e-05,-5.5903312499999995e-05,-8.425026e-05,3.5538105,-0.730463815245,0.23516805026249998,0.95068817481,1.4889073330050002,-0.635884961865,-4.691689500000001,-1.21002696009,-1.713501065475,-1.843803052875,-2.7787420753200003,0.00012702975749999997,-2.8675900000000055e-06,2.6409951249999998e-05,4.81042125e-05,6.4422785e-05,0.0,-0.00012297024250000003,-1.74077375e-05,-3.2672855e-05,-3.6623554999999996e-05,-6.497050250000001e-05
610.0,2.0327868852459017,9.099001499999999e-05,-2.0911685e-05,2.29542385e-06,2.11230675e-05,3.336512e-05,-1.8630565000000002e-05,-0.00012275,-3.3795335e-05,-4.57947025e-05,-4.574177e-05,-7.09282525e-05,3.00103267473,-0.68970919467,0.07570766942070001,0.696681012285,1.1004483878399998,-0.61447329483,-4.0485405000000005,-1.11463773897,-1.510400877855,-1.50865505814,-2.339355623955,0.00010962057999999998,-2.281119999999999e-06,2.0925988850000002e-05,3.9753632500000004e-05,5.1995685e-05,0.0,-0.00010411943500000001,-1.5164769999999999e-05,-2.71641375e-05,-2.7111205e-05,-5.22976875e-05
620.0,2.0,8.380527499999999e-05,-2.1760239999999998e-05,2.4356655e-06,2.0673895e-05,2.9953642500000004e-05,-1.68306425e-05,-0.000121,-3.1165385e-05,-4.55155075e-05,-4.6619967500000005e-05,-7.0308255e-05,2.76406558005,-0.7176962356800001,0.080333119521,0.68186640489,0.987931036935,-0.5551082509349999,-3.990822,-1.02789672807,-1.501192468365,-1.5376197680850001,-2.31890686641,0.00010063591749999998,-4.9295974999999975e-06,1.9266308e-05,3.75045375e-05,4.6784285000000004e-05,0.0,-0.00010416935749999999,-1.4334742499999996e-05,-2.8684864999999998e-05,-2.9789325000000005e-05,-5.34776125e-05
630.0,1.9682539682539681,9.0245545e-05,-1.740645e-05,7.488294e-06,2.625426e-05,3.659341e-05,-1.4883750000000001e-05,-0.00012649999999999998,-3.3526732500000004e-05,-4.78524275e-05,-5.11914225e-05,-7.732760750000001e-05,2.97647856519,-0.5740995339,0.246978912708,0.86591800332,1.2069238486199998,-0.49089584250000007,-4.172223000000001,-1.1057786913149998,-1.5782687638050001,-1.6883954968950001,-2.5504191505650002,0.000105129295,-2.5226999999999987e-06,2.2372044000000002e-05,4.113801e-05,5.1477160000000006e-05,0.0,-0.00011161624999999999,-1.8642982500000003e-05,-3.2968677500000003e-05,-3.63076725e-05,-6.244385750000001e-05
640.0,1.9375,0.00010449999999999999,-1.15768385e-05,1.63467425e-05,4.05903375e-05,5.23499e-05,-1.4008562499999999e-05,-0.00013824999999999997,-4.059928e-05,-5.5313992499999995e-05,-6.36993625e-05,-8.9833185e-05,3.446619,-0.381827287407,0.539148261135,1.3387505114250002,1.7266044018,-0.462030408375,-4.5597615000000005,-1.33904545296,-1.8243661006349998,-2.1009323739749997,-2.96287810767,0.00011850856249999999,2.4317239999999998e-06,3.0355304999999998e-05,5.45989e-05,6.63584625e-05,0.0,-0.00012424143749999996,-2.65907175e-05,-4.1305429999999995e-05,-4.96908e-05,-7.58246225e-05
650.0,1.9076923076923078,0.00012325,-5.327932199999999e-06,2.7679695e-05,5.5934685e-05,6.971726500000001e-05,-1.53693025e-05,-0.0001565,-4.47754375e-05,-6.8432775e-05,-7.7773405e-05,-0.00010725,4.0650315,-0.17572585982039998,0.91293170049,1.84483778067,2.2994148342300003,-0.5069103350549999,-5.161683,-1.476783479625,-2.2570497850500004,-2.56512244371,-3.5373195,0.0001386193025,1.00413703e-05,4.30489975e-05,7.13039875e-05,8.508656750000001e-05,0.0,-0.0001411306975,-2.9406135e-05,-5.3063472500000006e-05,-6.24041025e-05,-9.18806975e-05
660.0,1.878787878787879,0.00014649999999999998,4.309349999999999e-07,4.23305825e-05,7.431528249999999e-05,9.20247775e-05,-1.30528225e-05,-0.00017925,-4.79975975e-05,-7.7918865e-05,-9.23207475e-05,-0.00012675,4.831863,0.014213098170000008,1.3961472720149999,2.4510666474150002,3.0351612115049997,-0.430508191695,-5.9120235,-1.583056760745,-2.56992000543,-3.0449228940450004,-4.1804685,0.00015955282249999997,1.34837575e-05,5.5383405e-05,8.7368105e-05,0.0001050776,0.0,-0.0001661971775,-3.4944775e-05,-6.486604249999999e-05,-7.9267925e-05,-0.00011369717749999999
670.0,1.8507462686567164,0.000173,9.4604715e-06,5.45951275e-05,9.4749725e-05,0.000116,-1.2484679000000002e-05,-0.000203,-5.5643922499999996e-05,-9.05239375e-05,-0.00010999999999999999,-0.000147,5.7058860000000005,0.312025271013,1.8006564952050002,3.1250354299500005,3.8259119999999998,-0.41176968277799997,-6.695346,-1.8352478518950002,-2.985660506625,-3.6280200000000002,-4.8483540000000005,0.000185484679,2.1945150500000003e-05,6.70798065e-05,0.00010723440400000001,0.000128484679,0.0,-0.000190515321,-4.3159243499999994e-05,-7.803925849999999e-05,-9.7515321e-05,-0.000134515321
680.0,1.8235294117647058,0.00020575,2.2146049999999998e-05,7.19021525e-05,0.00011899999999999999,0.000146,-1.068787e-05,-0.00022925000000000002,-6.1879415e-05,-0.00010266143,-0.0001275,-0.0001695,6.7860465,0.7304210211,2.371476793755,3.924858,4.815372,-0.35250732834,-7.561123500000001,-2.0409068655300002,-3.38597928426,-4.205204999999999,-5.590449,0.00021643786999999998,3.283392e-05,8.25900225e-05,0.00012968787,0.00015668787,0.0,-0.00021856213000000002,-5.1191545e-05,-9.197356000000001e-05,-0.00011681213000000001,-0.00015881213
690.0,1.7971014492753623,0.00023999999999999998,3.70447775e-05,9.41740325e-05,0.000145,0.000177,-9.988229999999999e-06,-0.0002535,-6.5625815e-05,-0.000116,-0.00014350000000000002,-0.0001895,7.91568,1.221810851505,3.1060479399150003,4.78239,5.837814,-0.32943180186,-8.360937,-2.1644706303300003,-3.8259119999999998,-4.7329170000000005,-6.250089,0.00024998823,4.7033007500000006e-05,0.0001041622625,0.00015498823,0.00018698823,0.0,-0.00024351176999999998,-5.5637585e-05,-0.00010601177,-0.00013351177000000002,-0.00017951177
700.0,1.7714285714285714,0.0002705,4.64907675e-05,0.00011425,0.0001675,0.00020725,-1.08463265e-05,-0.0002785,-7.24179e-05,-0.00012975,-0.000164,-0.0002115,8.921631000000001,1.5333584936850002,3.7681935,5.524485,6.8355195,-0.357733540623,-9.185487,-2.3884871778,-4.279414500000001,-5.409048,-6.975693,0.0002813463265,5.7337094e-05,0.0001250963265,0.0001783463265,0.0002180963265,0.0,-0.0002676536735,-6.15715735e-05,-0.0001189036735,-0.0001531536735,-0.00020065367349999998
710.0,1.7464788732394365,0.00030475,6.0405457500000003e-05,0.0001325,0.00019674999999999998,0.00023925,-7.3023935e-06,-0.00030075,-7.940548000000001e-05,-0.00014175,-0.0001795,-0.00023,10.051264499999998,1.992292799265,4.370115,6.4892085,7.8909435000000006,-0.24084754241699996,-9.9193365,-2.6189515413599995,-4.6751985000000005,-5.920268999999999,-7.58586,0.0003120523935,6.770785100000001e-05,0.0001398023935,0.00020405239349999998,0.0002465523935,0.0,-0.00029344760650000003,-7.21030865e-05,-0.0001344476065,-0.0001721976065,-0.00022269760650000002
720.0,1.7222222222222223,0.00033600000000000004,7.12391425e-05,0.0001535,0.00022275000000000002,0.00026725,-4.29868425e-06,-0.0003255,-8.227277500000001e-05,-0.00015175,-0.0001965,-0.00024875,11.081952000000001,2.3496093979349997,5.062737,7.3467405,8.814439499999999,-0.1417792039335,-10.735641,-2.71352066505,-5.0050185,-6.480963,-8.204272500000002,0.00034029868425000003,7.553782675e-05,0.00015779868424999999,0.00022704868425000002,0.00027154868425,0.0,-0.00032120131575,-7.797409075000001e-05,-0.00014745131575,-0.00019220131575,-0.00024445131575
730.0,1.6986301369863013,0.00036899999999999997,8.02269675e-05,0.00017224999999999999,0.00025,0.00029624999999999996,-2.39975885e-06,-0.00034774999999999997,-8.64217925e-05,-0.00016225000000000001,-0.00021325,-0.00027125,12.170358,2.646045842085,5.6811495,8.2455,9.7709175,-0.07914884639070001,-11.4694905,-2.8503635602350004,-5.3513295,-7.0334115,-8.9463675,0.00037139975885,8.262672635e-05,0.00017464975884999998,0.00025239975885000003,0.00029864975885,0.0,-0.00034535024114999994,-8.402203365e-05,-0.00015985024115000002,-0.00021085024115,-0.00026885024115
