,B,E_Z,E_Z_std_dev,m*
0,-10,0.13879084535656674,0.01822833929454956,1.3275365054573682
1,-2,0.11305261568925074,0.006733406783113315,0.3259542695422119
2,-4,0.06239734129094621,0.012490487922089951,1.1811395166663305
3,-6,0.01573129710593926,0.01815176251840204,7.027389258241197
4,-8,0.1262018243295041,0.01647028235338819,1.1679698914847192
5,10,-0.09650665049449196,0.015865824608466732,1.9091939559610618
6,2,-0.01672920418914542,0.006192362510145202,2.2027337553053408
7,4,-0.010286433262739623,0.013902469702125551,7.164773605309279
8,6,-0.07254800833351825,0.012435288733284082,1.5238178254633445
9,8,-0.1250488456003969,0.013575762915416564,1.1787388388880633
