,wavelength,energy,ems,blank,absorbance,smoothed_absorbance
0,600.0,2.066666666666667,0.004456,0.008667,0.2889236143981868,0.28345367685767175
1,604.0,2.052980132450331,0.004517,0.008728,0.2860646470188912,0.2855906473546536
2,608.0,2.039473684210526,0.004395,0.008484,0.28564178043473354,0.28797052522510497
3,612.0,2.026143790849673,0.004028,0.007813,0.2877283624279958,0.29059331046902587
4,616.0,2.012987012987013,0.003784,0.007385,0.2903993719182132,0.2934590030864163
5,620.0,2.0,0.003632,0.007141,0.2936131932257213,0.29656760307727625
6,624.0,1.9871794871794872,0.003357,0.006653,0.2970661821980367,0.2999191104416058
7,628.0,1.9745222929936306,0.003082,0.006226,0.30537648196409584,0.3035135251794048
8,632.0,1.9620253164556962,0.002899,0.00592,0.3100734913679224,0.30735084729067336
9,636.0,1.949685534591195,0.002747,0.005615,0.3104911011769147,0.31143107677541143
10,640.0,1.9375,0.002533,0.005249,0.3164413829775925,0.31575421363361905
11,644.0,1.9254658385093169,0.002411,0.005066,0.3224679750770756,0.32032025786529617
12,648.0,1.9135802469135803,0.00235,0.005005,0.32833621954360126,0.3251292094704429
13,652.0,1.901840490797546,0.002289,0.004944,0.3344326694062165,0.33018106844905903
14,656.0,1.8902439024390243,0.002289,0.004944,0.3344326694062165,0.3354758348011448
15,660.0,1.878787878787879,0.00235,0.005127,0.33879545516866294,0.34101350852670004
16,664.0,1.8674698795180722,0.002411,0.00531,0.3428973107040154,0.34679408962572483
17,668.0,1.8562874251497006,0.002472,0.005554,0.3515574089974607,0.3528175780982192
18,672.0,1.8452380952380953,0.002472,0.005676,0.3609939203686583,0.359083973944183
19,676.0,1.834319526627219,0.002625,0.006104,0.3664852172048483,0.3655932771636164
20,680.0,1.8235294117647058,0.002808,0.006653,0.37462041998828166,0.3723454877565193
21,684.0,1.8128654970760234,0.002991,0.007141,0.3779426200434506,0.3793406057229077
22,688.0,1.802325581395349,0.003143,0.00769,0.38858195878385104,0.3867824021264365
23,692.0,1.7919075144508672,0.003326,0.00824,0.3940049668136154,0.3943526695865491
24,696.0,1.7816091954022988,0.003632,0.009094,0.39860911002004196,0.40212408780026276
25,700.0,1.7714285714285714,0.003937,0.010132,0.41052976632828075,0.4101094196659316
26,704.0,1.7613636363636365,0.004272,0.01117,0.4174219290951091,0.4183174656353189
27,708.0,1.7514124293785311,0.004547,0.012146,0.42670832258143654,0.4267906693542798
28,712.0,1.7415730337078652,0.004852,0.013245,0.4361311704387145,0.4354637084794103
29,716.0,1.7318435754189945,0.005249,0.014587,0.44388941018674277,0.4445665796758528
30,720.0,1.7222222222222223,0.005737,0.016296,0.4533961661096668,0.45393656771355606
31,724.0,1.712707182320442,0.006165,0.017883,0.4625072956173897,0.46339496440802763
32,728.0,1.7032967032967032,0.00647,0.019287,0.47436039981245304,0.47311028447173664
33,732.0,1.6939890710382515,0.006897,0.020813,0.479674458237195,0.4830969268487704
34,736.0,1.684782608695652,0.007324,0.022766,0.4925383958844616,0.49334434867126536
35,740.0,1.6756756756756757,0.007874,0.024963,0.5011013662754744,0.5038780252177022
36,744.0,1.6666666666666667,0.008362,0.027222,0.5126098664352643,0.5144351200449484
37,748.0,1.6577540106951871,0.008759,0.029175,0.5225563383749308,0.5251075124844216
38,752.0,1.648936170212766,0.009094,0.03125,0.5360950718110047,0.5359235026205077
39,756.0,1.6402116402116402,0.009491,0.033508,0.5478365333734356,0.5469897086470558
40,760.0,1.631578947368421,0.009949,0.036011,0.5586557507237271,0.5582647644942994
41,764.0,1.6230366492146597,0.010559,0.039307,0.570847108859323,0.5696645143148218
42,768.0,1.6145833333333333,0.011047,0.042298,0.5830754788630486,0.5812812134876788
43,772.0,1.6062176165803108,0.011383,0.0448,0.5950212781480049,0.5928815133303219
44,776.0,1.597938144329897,0.011658,0.047119,0.6065720139218849,0.6047603552566307
45,780.0,1.5897435897435896,0.012024,0.049805,0.6172239768557082,0.6166574097252265
46,784.0,1.5816326530612246,0.012512,0.053284,0.6292700839134668,0.6285764258334826
47,788.0,1.5736040609137056,0.013062,0.05719,0.6413104171219344,0.6406599931802931
48,792.0,1.5656565656565657,0.01358,0.060974,0.6522449164821513,0.6527745741029081
49,796.0,1.5577889447236182,0.014008,0.064759,0.6649240007391914,0.6649998650396065
50,800.0,1.55,0.014374,0.068177,0.6760602464849219,0.6773195790403999
51,804.0,1.5422885572139304,0.014557,0.071045,0.688461636588739,0.6896019330831717
52,808.0,1.5346534653465347,0.014893,0.07483,0.7010935557171658,0.7019731322038492
53,812.0,1.5270935960591132,0.01532,0.079285,0.71393226523131,0.7143009819930842
54,816.0,1.5196078431372548,0.015869,0.084534,0.7264818593710991,0.7267012698681513
55,820.0,1.5121951219512195,0.016449,0.09021,0.7391151822170368,0.7389751868614456
56,824.0,1.5048543689320388,0.016815,0.094788,0.7510564882227011,0.751297127964593
57,828.0,1.497584541062802,0.01709,0.099122,0.7634279935629373,0.7635731177438896
58,832.0,1.4903846153846154,0.017365,0.10376,0.7763551754292426,0.775847207726029
59,836.0,1.4832535885167464,0.017792,0.109009,0.7872375857357219,0.7880350513349769
60,840.0,1.4761904761904763,0.018463,0.116211,0.7989449686324126,0.8002643036494851
61,844.0,1.4691943127962086,0.019196,0.124756,0.8128507004436987,0.8124253670561237
62,848.0,1.4622641509433962,0.02005,0.134034,0.8251006015533935,0.8245787869736357
63,852.0,1.4553990610328638,0.020905,0.143556,0.836771176896185,0.8366219654005708
64,856.0,1.4485981308411215,0.021607,0.152772,0.8494492922564201,0.8486423320352872
65,860.0,1.441860465116279,0.022278,0.1615,0.8602963270573192,0.8605489615918126
66,864.0,1.4351851851851851,0.02301,0.171693,0.8728359704739574,0.8723807896524333
67,868.0,1.4285714285714286,0.023895,0.182557,0.8830914554176392,0.8840658462910711
68,872.0,1.4220183486238531,0.024872,0.195741,0.8959710936734209,0.8955853274456266
69,876.0,1.4155251141552512,0.026062,0.210572,0.9073928816046504,0.9069816091956538
70,880.0,1.4090909090909092,0.027344,0.226441,0.9180930187546499,0.9181570834113527
71,884.0,1.4027149321266967,0.028595,0.242677,0.9287385166259321,0.929233940776411
72,888.0,1.3963963963963963,0.030121,0.262819,0.9407873724198588,0.9400838568279899
73,892.0,1.390134529147982,0.032227,0.287294,0.9501066769761082,0.9507862274794456
74,896.0,1.3839285714285714,0.031891,0.292238,0.9620685494711867,0.96130085496545
75,900.0,1.3777777777777778,0.031708,0.298098,0.9731902127511967,0.9716819567536507
76,904.0,1.3716814159292035,0.03183,0.305666,0.9824104951211647,0.9818579625752951
77,908.0,1.3656387665198237,0.031891,0.313967,0.9932158657152872,0.9918183070626602
78,912.0,1.3596491228070176,0.032166,0.322939,1.0017234385138734,1.0015551784079335
79,916.0,1.3537117903930131,0.03244,0.332644,1.0108988488132433,1.0110746465053226
80,920.0,1.3478260869565217,0.032623,0.341738,1.0201693773081706,1.020388406636267
81,924.0,1.341991341991342,0.03299,0.352541,1.0288273165290462,1.030149111021089
82,928.0,1.3362068965517242,0.033264,0.363527,1.038562200471882,1.0393617754196087
83,932.0,1.3304721030042919,0.033173,0.3678,1.0448269761884008,1.0481577340841286
84,936.0,1.3247863247863247,0.033295,0.377626,1.0546828691193921,1.056452367247537
85,940.0,1.3191489361702127,0.033814,0.389711,1.0616461160590864,1.0643569244198197
86,944.0,1.3135593220338984,0.03421,0.402285,1.070380765150607,1.0718492170911673
87,948.0,1.3080168776371308,0.035309,0.421572,1.0769863402462538,1.078862790348217
88,952.0,1.3025210084033614,0.036591,0.443789,1.0838022548289583,1.0854319725324366
89,956.0,1.297071129707113,0.037567,0.464174,1.0918742956028993,1.091518970370867
90,960.0,1.2916666666666667,0.038513,0.482851,1.0982057855342728,1.0972017668638243
91,964.0,1.2863070539419088,0.039276,0.500797,1.1055344672346272,1.102523821439598
92,968.0,1.28099173553719,0.040009,0.515873,1.110385101567425,1.1074192638822864
93,972.0,1.2757201646090535,0.04065,0.531681,1.1165905908381206,1.1119704997848736
94,976.0,1.2704918032786885,0.041352,0.546391,1.1210070179953056,1.1161841548190845
95,980.0,1.2653061224489797,0.042267,0.565128,1.126145401666677,1.1199465685224304
96,984.0,1.2601626016260163,0.043183,0.581547,1.1292720094352866,1.1233852162901823
97,988.0,1.2550607287449393,0.044281,0.602116,1.1334627478361505,1.1264939331311914
98,992.0,1.25,0.045136,0.619511,1.1375259532759139,1.1292128604779388
99,996.0,1.2449799196787148,0.04596,0.635136,1.140486709567811,1.1316247891728268
