wavelength,energy,-2_absorption,-4_absorption,-6_absorption,0_absorption,2_absorption,4_absorption,6_absorption,-2_abs_diff,-4_abs_diff,-6_abs_diff,0_abs_diff,2_abs_diff,4_abs_diff,6_abs_diff
220.0,5.636363636363637,0.33602675000557136,0.33602675000557136,0.3319414606449973,0.35924437259884945,0.35469908561031116,0.3501057244737735,0.34649218368373624,-0.023217622593278087,-0.023217622593278087,-0.02730291195385215,0.0,-0.0045452869885382885,-0.009138648125075921,-0.012752188915113205
224.0,5.535714285714286,0.36015144778263797,0.3357921019231931,0.3357921019231931,0.3679767852945943,0.3679767852945943,0.3679767852945943,0.3542755076172064,-0.007825337511956354,-0.032184683371401235,-0.032184683371401235,0.0,0.0,0.0,-0.013701277677387935
228.0,5.43859649122807,0.3679767852945943,0.3679767852945943,0.3357921019231931,0.3679767852945943,0.3679767852945943,0.3679767852945943,0.43136376415898736,0.0,0.0,-0.032184683371401235,0.0,0.0,0.0,0.06338697886439304
232.0,5.344827586206897,0.3757885009443207,0.3679767852945943,0.3679767852945943,0.39841438827343967,0.39841438827343967,0.39841438827343967,0.3679767852945943,-0.022625887329118965,-0.030437602978845346,-0.030437602978845346,0.0,0.0,0.0,-0.030437602978845346
236.0,5.254237288135593,0.4264134783243625,0.4126395329054049,0.39841438827343967,0.4331400221847903,0.4264134783243625,0.4264134783243625,0.4264134783243625,-0.006726543860427814,-0.020500489279385414,-0.03472563391135064,0.0,-0.006726543860427814,-0.006726543860427814,-0.006726543860427814
240.0,5.166666666666667,0.4340301142018945,0.41056981739846665,0.45271626811802834,0.43970238483526636,0.4340301142018945,0.4340301142018945,0.5009769038325078,-0.005672270633371834,-0.029132567436799706,0.013013883282761984,0.0,-0.005672270633371834,-0.005672270633371834,0.061274518997241456
244.0,5.081967213114754,0.5262726775569933,0.4976481376436914,0.47746015015777465,0.5201697831083674,0.4912060871730508,0.5354097496651042,0.5354097496651042,0.006102894448625884,-0.022521645464675943,-0.04270963295059271,0.0,-0.028963695935316558,0.015239966556736873,0.015239966556736873
248.0,5.0,0.5373487876156819,0.5231159998516044,0.5285373853583863,0.5511298988377624,0.5511298988377624,0.5511298988377624,0.5511298988377624,-0.013781111222080478,-0.028013898986158026,-0.022592513479376075,0.0,0.0,0.0,0.0
252.0,4.920634920634921,0.5645949272743047,0.5442375251258522,0.5799709136272204,0.5743475783621701,0.5743475783621701,0.5767519011882212,0.5815209794260179,-0.009752651087865383,-0.03011005323631788,0.005623335265050322,0.0,0.0,0.002404322826051075,0.007173401063847784
256.0,4.84375,0.6035299679870285,0.5965477236841155,0.602314187695713,0.6168360315015633,0.6151948981628075,0.6217225468355629,0.6217225468355629,-0.013306063514534783,-0.020288307817447837,-0.01452184380585031,0.0,-0.001641133338755818,0.0048865153339996414,0.0048865153339996414
260.0,4.769230769230769,0.622711318324682,0.618908282605358,0.6231476534955167,0.6258389351192879,0.6109361777219788,0.6154149695583282,0.6371610347860399,-0.0031276167946059363,-0.00693065251392988,-0.002691281623771191,0.0,-0.014902757397309063,-0.010423965560959703,0.011322099666752017
264.0,4.696969696969697,0.6368552713626863,0.6268295226947902,0.630768573148565,0.640355432572421,0.6291761635862239,0.6336509450347136,0.6488297986933309,-0.003500161209734731,-0.013525909877630804,-0.009586859423855953,0.0,-0.011179268986197144,-0.00670448753770736,0.008474366120909904
268.0,4.626865671641791,0.6350036226315385,0.6295878854443657,0.6384941847555019,0.6441211915454832,0.6267716352975834,0.6326369641190981,0.6388468902168123,-0.009117568913944663,-0.014533306101117471,-0.0056270067899812926,0.0,-0.0173495562478998,-0.011484227426385107,-0.005274301328670905
272.0,4.5588235294117645,0.6374999849694467,0.6270189616372173,0.6369767553580845,0.6462920139986688,0.6274794709822296,0.6310857816689412,0.6376134303416969,-0.008792029029222048,-0.019273052361451493,-0.009315258640584245,0.0,-0.018812543016439198,-0.01520623232972751,-0.008678583656971828
276.0,4.492753623188406,0.6314000719973849,0.6210697397295903,0.6302689283937255,0.6400860139754572,0.6223947552886155,0.627532138169909,0.635091668870053,-0.008685941978072265,-0.019016274245866827,-0.009817085581731666,0.0,-0.017691258686841627,-0.01255387580554812,-0.0049943451054041965
280.0,4.428571428571429,0.6226144496447414,0.6138468404916997,0.62275841278491,0.6321488558973001,0.6159930485004212,0.6201676804916167,0.6236600052033117,-0.009534406252558636,-0.01830201540560039,-0.009390443112390123,0.0,-0.01615580739687883,-0.01198117540568333,-0.008488850693988415
284.0,4.366197183098592,0.6117933386096499,0.5997934234150422,0.6094379781820312,0.6217639054030846,0.6038734795978868,0.6076726786901063,0.613803755624698,-0.009970566793434665,-0.021970481988042412,-0.012325927221053412,0.0,-0.01789042580519773,-0.014091226712978244,-0.00796014977838655
288.0,4.305555555555555,0.5983842117431493,0.585786097353511,0.5966553394435123,0.6094942089928379,0.5917431876503132,0.5941470407679463,0.6007226394286636,-0.011109997249688641,-0.023708111639326956,-0.01283886954932556,0.0,-0.01775102134252471,-0.015347168224891572,-0.008771569564174353
292.0,4.2465753424657535,0.5840062246379969,0.5720478210632653,0.5851579861840692,0.5979822046829681,0.5802450899187317,0.5814024400688707,0.588174933532218,-0.013975980044971248,-0.025934383619702794,-0.01282421849889892,0.0,-0.01773711476423645,-0.016579764614097492,-0.009807271150750196
296.0,4.1891891891891895,0.5714083189232144,0.5587325772456586,0.5702350413571082,0.5853800137201726,0.5676895626510778,0.568594029456531,0.5725781273335229,-0.013971694796958145,-0.026647436474513952,-0.015144972363064335,0.0,-0.017690451069094726,-0.01678598426364153,-0.012801886386649697
