wavelength,energy,0_deltaA,3_deltaA,5_deltaA,0_mdeg,3_mdeg,5_mdeg,0_deltaA_diff,3_deltaA_diff,5_deltaA_diff
220.0,5.636363636363637,-0.0027645000000000005,-0.0004467499999999999,0.0008412499999999998,-91.17873900000001,-14.734708499999996,27.746107499999994,0.0,0.0023177500000000004,0.0036057500000000004
224.0,5.535714285714286,-0.0024855,5.0750000000000014e-05,-0.0011725000000000004,-81.97676100000001,1.6738365000000002,-38.671395000000004,0.0,0.00253625,0.0013129999999999995
228.0,5.43859649122807,-0.0015470000000000002,-0.00044975000000000006,-0.0025675000000000003,-51.023154000000005,-14.833654500000002,-84.681285,0.0,0.0010972500000000001,-0.0010205000000000001
232.0,5.344827586206897,-0.0029115,-0.00142025,-0.00299475,-96.02709300000001,-46.8426855,-98.7728445,0.0,0.00149125,-8.324999999999999e-05
236.0,5.254237288135593,-4.175000000000012e-05,-0.0007692500000000001,-0.0036999999999999997,-1.3769985000000062,-25.371403500000003,-122.0334,0.0,-0.0007275,-0.0036582499999999996
240.0,5.166666666666667,0.0017935,-0.001437,0.0017295000000000001,59.153217000000005,-47.395134,57.04236900000001,0.0,-0.0032305,-6.399999999999982e-05
244.0,5.081967213114754,-0.0004295000000000002,-0.0040975000000000004,0.005699999999999999,-14.165769000000012,-135.143745,187.99739999999997,0.0,-0.0036680000000000003,0.0061294999999999995
248.0,5.0,7.324999999999996e-05,-0.006283,0.008473999999999999,2.4159314999999992,-207.225906,279.489468,0.0,-0.006356250000000001,0.008400749999999998
252.0,4.920634920634921,-0.0020432500000000004,-0.00933,0.01038125,-67.3904715,-307.72206,342.3943875,0.0,-0.00728675,0.0124245
256.0,4.84375,-0.0021135,-0.009954000000000001,0.00777125,-69.707457,-328.302828,256.3113675,0.0,-0.0078405,0.009884750000000001
260.0,4.769230769230769,-0.00232325,-0.010658749999999998,0.0043815,-76.62543149999999,-351.5468925,144.51063300000004,0.0,-0.0083355,0.00670475
