,wavelength,energy,ems,blank,absorbance,smoothed_absorbance
5,425.0,2.9176470588235293,3.05178e-05,0.00061,1.3007766124873616,1.5243749236254884
6,430.0,2.883720930232558,3.05178e-05,0.000793,1.4147199647941986,1.4944156914691562
7,435.0,2.8505747126436782,3.05178e-05,0.001038,1.5316441309890338,1.4651992083182077
8,440.0,2.8181818181818183,3.05178e-05,0.001282,1.6233348026593934,1.4367254741726434
9,445.0,2.7865168539325844,6.10356e-05,0.001587,1.4149937085674618,1.4089944890324628
10,450.0,2.7555555555555555,9.15532e-05,0.001892,1.315247603547617,1.3820062528976664
11,455.0,2.7252747252747254,9.15532e-05,0.002258,1.3920504090707921,1.355760765768254
12,460.0,2.6956521739130435,9.15532e-05,0.002625,1.4574557792238187,1.3302580276442255
13,465.0,2.6666666666666665,0.000153,0.002991,1.2911249822137192,1.305498038525581
14,470.0,2.6382978723404253,0.000183,0.003418,1.2713209686542886,1.2814807984123204
15,475.0,2.610526315789474,0.000183,0.003784,1.3155000379993256,1.2582063073044436
16,480.0,2.5833333333333335,0.000244,0.004211,1.2369954150815357,1.235674565201951
17,485.0,2.556701030927835,0.000275,0.004639,1.227091678688497,1.2138855721048423
18,490.0,2.5306122448979593,0.000305,0.005127,1.2255634780936133,1.1928393280131175
19,495.0,2.505050505050505,0.000366,0.005554,1.181124790019828,1.1725358329267768
20,500.0,2.48,0.000427,0.00592,1.141893831697896,1.15297508684582
21,505.0,2.4554455445544554,0.000458,0.006226,1.1333436383426272,1.1341570897702473
22,510.0,2.4313725490196076,0.000488,0.006531,1.1265598617580461,1.1160818417000584
23,515.0,2.407766990291262,0.000549,0.006775,1.0913369550963514,1.0987493426352535
24,520.0,2.3846153846153846,0.00058,0.007019,1.082847248849276,1.0821595925758325
25,525.0,2.361904761904762,0.000641,0.007324,1.0578903061108416,1.0663125915217955
26,530.0,2.339622641509434,0.000702,0.00769,1.0395892276716259,1.0512083394731866
27,535.0,2.317757009345794,0.000793,0.008423,1.026193613373934,1.0270330261146088
28,540.0,2.2962962962962963,0.000885,0.00885,1.0,1.0077610733366986
29,545.0,2.2752293577981653,0.000946,0.009216,0.988651329677344,0.9947837462687515
30,550.0,2.2545454545454544,0.000977,0.009399,0.9831870858825944,0.9882206600255807
31,555.0,2.234234234234234,0.000977,0.009277,0.9775129928786999,0.9763501948607538
32,560.0,2.2142857142857144,0.001007,0.008972,0.9498597943573122,0.9625688196957164
33,565.0,2.1946902654867255,0.000977,0.008545,0.9418175033379828,0.9534398460880888
34,570.0,2.175438596491228,0.000916,0.007996,0.940977311778229,0.9488440597397075
35,575.0,2.1565217391304348,0.000793,0.006897,0.9393870386713377,0.9405801249240002
36,580.0,2.1379310344827585,0.000824,0.007019,0.9303480307150975,0.9331139533112145
37,585.0,2.1196581196581197,0.000946,0.007813,0.9169266879077835,0.9291149487625272
38,590.0,2.1016949152542375,0.001038,0.008606,0.9186039882340977,0.9246601196204135
39,595.0,2.0840336134453783,0.00119,0.009644,0.9087102403128853,0.9212218353622013
40,600.0,2.066666666666667,0.00116,0.009583,0.9170434989213283,0.9193757007088397
41,605.0,2.049586776859504,0.00116,0.009583,0.9170434989213283,0.9179007076658242
42,610.0,2.0327868852459017,0.001099,0.009155,0.9206606562142248,0.9163931008408863
43,615.0,2.016260162601626,0.001007,0.008423,0.9224373301379198,0.9159445667442094
44,620.0,2.0,0.000977,0.008057,0.9162787999252755,0.9165305104340663
45,625.0,1.984,0.000885,0.007385,0.9214072289501427,0.9173438590265732
46,630.0,1.9682539682539681,0.000793,0.006775,0.9316361122288395,0.9186981872422619
47,635.0,1.952755905511811,0.000763,0.006348,0.9201123801279301,0.9203028786346371
48,640.0,1.9375,0.000671,0.005859,0.9411009778385246,0.9221199270378662
49,645.0,1.9224806201550388,0.000641,0.005554,0.9377478458954214,0.9243747579719277
50,650.0,1.9076923076923078,0.000641,0.005432,0.928101731753628,0.9265311526827452
51,655.0,1.8931297709923665,0.000641,0.00531,0.9182364915626517,0.9288101390375664
52,660.0,1.878787878787879,0.000641,0.005554,0.9377478458954214,0.9316135015889673
53,665.0,1.8646616541353382,0.000671,0.005859,0.9411009778385246,0.9348403667899055
54,670.0,1.8507462686567164,0.000702,0.006043,0.9349154821186512,0.937599201757712
55,675.0,1.837037037037037,0.000732,0.006409,0.9422791905256749,0.9405031896712831
56,680.0,1.8235294117647058,0.000793,0.007019,0.9470020550946094,0.9437475581581486
57,685.0,1.8102189781021898,0.000854,0.00769,0.9544684691124259,0.9472006301819916
58,690.0,1.7971014492753623,0.000916,0.008301,0.957234940192764,0.9507451539502729
59,695.0,1.7841726618705036,0.001038,0.009216,0.9483451125666977,0.9540710646849114
60,700.0,1.7714285714285714,0.00116,0.010559,0.9591648006520883,0.9576398032666965
61,705.0,1.7588652482269505,0.001282,0.011841,0.9655003559323792,0.9609921355616332
62,710.0,1.7464788732394365,0.001434,0.013123,0.9614839774967856,0.9647754392461307
63,715.0,1.7342657342657342,0.001587,0.01471,0.9670357459726819,0.9687242808366987
64,720.0,1.7222222222222223,0.001801,0.016785,0.969407632764498,0.9730328442121109
65,725.0,1.710344827586207,0.001984,0.018738,0.9751815667956822,0.9775512680678133
66,730.0,1.6986301369863013,0.002197,0.02063,0.9726691710526412,0.9820152234533664
67,735.0,1.6870748299319729,0.00238,0.02301,0.9853396616121315,0.9867755084076015
68,740.0,1.6756756756756757,0.002655,0.025879,0.9888829651698758,0.9920642361429831
69,745.0,1.6644295302013423,0.002899,0.028809,0.9972799682284599,0.9970754789614977
70,750.0,1.6533333333333333,0.003113,0.031311,1.0025178175043985,1.0030091921615982
71,755.0,1.6423841059602649,0.003357,0.034119,1.007044952617747,1.0090871497889373
