wavelength,energy,-2_absorption,-4_absorption,0_absorption,2_absorption,4_absorption,-2_abs_diff,-4_abs_diff,0_abs_diff,2_abs_diff,4_abs_diff
400.0,3.1,0.21925150875013077,0.2215230916508646,0.22106360592041963,0.22169196283433212,0.28147463079313173,-0.001812097170288851,0.000459485730444964,0.0,0.0006283569139124978,0.060411024872712105
404.0,3.0693069306930694,0.21932509293991198,0.22200565992355892,0.2200169337932254,0.2212743717114769,0.2376207296096342,-0.000691840853313419,0.001988726130333518,0.0,0.0012574379182515028,0.017603795816408807
408.0,3.0392156862745097,0.21980866941524435,0.22271428925603542,0.22026322720906855,0.2213603224199372,0.2223321736040682,-0.00045455779382419514,0.0024510620469668787,0.0,0.0010970952108686483,0.00206894639499966
412.0,3.0097087378640777,0.21964831593417444,0.22282608515808833,0.22050813502249555,0.22180338222436524,0.2206466700714369,-0.0008598190883211121,0.0023179501355927723,0.0,0.001295247201869687,0.00013853504894134616
416.0,2.980769230769231,0.21904079363533602,0.224292287614841,0.2213097969734814,0.22197770967329822,0.22084988969433428,-0.0022690033381453922,0.002982490641359581,0.0,0.0006679126998168083,-0.0004599072791471315
420.0,2.9523809523809526,0.21930330030422351,0.22391252624305302,0.2219176192211818,0.22298225746860623,0.22162222134497256,-0.0026143189169582914,0.0019949070218712173,0.0,0.001064638247424421,-0.00029539787620924685
424.0,2.9245283018867925,0.2199547624450937,0.22517404037925437,0.22284112038207216,0.22350214735118046,0.22384744503022014,-0.0028863579369784453,0.0023329199971822145,0.0,0.0006610269691083026,0.0010063246481479826
428.0,2.897196261682243,0.22098964887305161,0.2267769641222077,0.2236218359137041,0.22353874774746196,0.22494874689237232,-0.0026321870406524894,0.0031551282085036103,0.0,-8.30881662421401e-05,0.0013269109786682165
432.0,2.8703703703703702,0.22151407534838063,0.2278409414570728,0.22455066039656346,0.22317476530294478,0.22564657196170712,-0.003036585048182827,0.003290281060509326,0.0,-0.0013758950936186842,0.001095911565143659
436.0,2.8440366972477062,0.2221011752526283,0.22961212434476153,0.2251402273067744,0.22380201534000643,0.2265706228295843,-0.0030390520541461186,0.004471897037987116,0.0,-0.001338211966767977,0.0014303955228098797
440.0,2.8181818181818183,0.2247885170405166,0.2306787325454367,0.22621988165884588,0.2240956693322076,0.22699413033800742,-0.0014313646183292672,0.004458850886590815,0.0,-0.002124212326638286,0.0007742486791615377
444.0,2.7927927927927927,0.22671371160292297,0.2313336473049148,0.22714562341858535,0.22561185336531508,0.22759199707468203,-0.000431911815662378,0.0041880238863294394,0.0,-0.001533770053270267,0.0004463736560966769
448.0,2.767857142857143,0.2275915833156481,0.23214984942368,0.22762729633082235,0.2279007675606528,0.22819256389261944,-3.571301517424352e-05,0.004522553092857651,0.0,0.0002734712298304576,0.0005652675617970893
452.0,2.743362831858407,0.22782508185369355,0.23229632479577988,0.2279088733996999,0.2297536444946462,0.22806285686344685,-8.379154600635097e-05,0.004387451396079989,0.0,0.0018447710949462959,0.00015398346374695393
456.0,2.719298245614035,0.22817626901849253,0.2325714457924497,0.2282048937996093,0.22968046840906808,0.22787351674335543,-2.862478111675948e-05,0.004366551992840417,0.0,0.0014755746094587963,-0.0003313770562538565
460.0,2.6956521739130435,0.22844225518751582,0.23294446103427102,0.2288416640275308,0.22952922792170183,0.22933836967424082,-0.000399408840014992,0.004102797006740211,0.0,0.0006875638941710172,0.0004967056467100051
464.0,2.6724137931034484,0.22899720349966124,0.23344467444861516,0.229209285500392,0.23001712917985606,0.23048098362582015,-0.00021208200073075112,0.004235388948223173,0.0,0.0008078436794640709,0.0012716981254281556
468.0,2.6495726495726495,0.22952930060069265,0.23402911814040217,0.2296034866934238,0.23091033511618853,0.2307621826623334,-7.418609273113219e-05,0.004425631446978384,0.0,0.0013068484227647392,0.0011586959689096066
472.0,2.6271186440677967,0.22999692322113852,0.23496944632336803,0.23037037168688368,0.2315274943895076,0.23180139668877375,-0.0003734484657451631,0.004599074636484346,0.0,0.001157122702623914,0.0014310250018900739
476.0,2.6050420168067228,0.23043168808264358,0.23572700314957595,0.23116359127032515,0.23180227382227114,0.23259002584198463,-0.0007319031876815707,0.0045634118792508005,0.0,0.0006386825519459904,0.001426434571659474
480.0,2.5833333333333335,0.23129133355282305,0.2366023737424201,0.23198894312774043,0.231613755272301,0.23325716012218622,-0.0006976095749173794,0.00461343061467967,0.0,-0.00037518785543944055,0.0012682169944457922
484.0,2.56198347107438,0.2321724499979707,0.2373464465135684,0.23286481801781345,0.23248345507464974,0.23410149595692253,-0.0006923680198427373,0.004481628495754952,0.0,-0.00038136294316371,0.0012366779391090876
488.0,2.540983606557377,0.23287514986565316,0.23820998838458185,0.23344037933188444,0.23380577338823105,0.234097740976265,-0.0005652294662312762,0.00476960905269741,0.0,0.00036539405634661293,0.0006573616443805719
492.0,2.5203252032520327,0.23321272011209682,0.23891449657164054,0.2340465227972066,0.2338281731836509,0.2336182018791646,-0.0008338026851097968,0.004867973774433931,0.0,-0.0002183496135557128,-0.00042832091804201333
496.0,2.5,0.23390833199832572,0.23967649313065942,0.23477390461548753,0.23396464241041892,0.23381623904791837,-0.0008655726171618028,0.004902588515171891,0.0,-0.000809262205068606,-0.0009576655675691548
500.0,2.48,0.23457623956978324,0.24037818443080639,0.2353120039314951,0.23461457489000814,0.23443957769819512,-0.0007357643617118548,0.00506618049931129,0.0,-0.0006974290414869522,-0.0008724262332999722
