,B,E_Z,E_Z_std_dev,m*
0,-10,0.10229698092672382,0.0022884541406441314,1.8011275813321452
1,-2,0.020946664791413525,0.009958656090349448,1.7592291247211687
2,-4,0.023251349006943478,0.00591559094108243,3.169707078571806
3,-6,0.07814253219252755,0.004901158461724263,1.4147218575935758
4,-8,0.10099858462771608,0.003210940247589493,1.4594257098812347
5,10,-0.12525209387788908,0.017063748653352112,1.4710326041635664
6,2,-0.04242904323090414,0.00403843394877329,0.8685084546046427
7,4,-0.03895220924454615,0.009088863516339491,1.8920612453829246
8,6,-0.08239070042285355,0.011204983322913597,1.3417770177107757
9,8,-0.1319041219877864,0.013009860251505986,1.117477822876172
