,B,E_Z,E_Z_std_dev,m*
0,-10,0.0978615011753549,0.0023229548036280924,1.8827619811796996
1,-2,0.03228351202494291,0.00103628851982998,1.1414490077273833
2,-4,0.05186897649015128,0.0012968716218569466,1.4208872146849898
3,-6,0.0658512751990538,0.0017726320432084944,1.6787821946698893
4,-8,0.0961399575056113,0.002044274818224779,1.5331807387027538
5,10,-0.07999588063356262,0.0015030979655676166,2.3032425216758945
6,2,-0.011277497604935233,0.0010074516475113338,3.267567332552562
7,4,-0.03310462615836631,0.0006725244104311436,2.2262739105128535
8,6,-0.045517831334838305,0.0009158961728317072,2.4287173852209865
9,8,-0.06796877688926535,0.0012512368937485615,2.168641806037621
