Field,MCD_1_amp_max,MCD_1_amp_min,MCD_2_amp_max,MCD_2_amp_min
-10.0,0.0001311207975,-9.230975500000002e-05,0.0008107500000000001,0.00015223297875000002
-2.0,4.318329749999999e-05,-1.819317187500001e-05,0.000190862011375,6.151728e-05
-4.0,5.724579750000001e-05,-4.467922437500002e-05,0.00033062499999999997,7.407978e-05
-6.0,0.00012568329749999997,-3.5811288125000014e-05,0.0005943750000000001,0.00015004547875
-8.0,0.00020905829749999998,-3.11864125e-05,0.0008835,0.00024610797875
10.0,0.00018493246874999998,-4.306079062500001e-05,-6.768906049999998e-05,-0.0005796250000000001
2.0,4.0169947499999996e-05,-7.199839375000004e-06,-1.4032624375000003e-05,-0.00011586044625
4.0,0.000105316688125,2.9976974999999898e-06,-3.1742181249999894e-06,-0.000180373418125
6.0,4.9885754375000016e-05,-6.479067750000001e-05,-7.824668575e-05,-0.000391560918125
8.0,0.00011820447293749999,-2.4181403750000004e-05,-4.947789443749999e-05,-0.0004445625000000001
