wavelength,energy,-10_absorption,-2_absorption,-4_absorption,-6_absorption,-8_absorption,0_absorption,10_absorption,2_absorption,4_absorption,6_absorption,8_absorption,-10_abs_diff,-2_abs_diff,-4_abs_diff,-6_abs_diff,-8_abs_diff,0_abs_diff,10_abs_diff,2_abs_diff,4_abs_diff,6_abs_diff,8_abs_diff
400.0,3.1,0.4251876842250861,0.41768754719589296,0.41847384455910586,0.4165116067354997,0.4118160592569926,0.38004079927051837,0.4275516375847419,0.41044578173592927,0.41309616843570884,0.4203980592311485,0.4130036638992294,0.045146884954567756,0.03764674792537459,0.038433045288587486,0.036470807464981325,0.031775259986474236,0.0,0.047510838314223536,0.0304049824654109,0.033055369165190474,0.04035725996063011,0.03296286462871101
404.0,3.0693069306930694,0.5816923128782867,0.5864478649802438,0.5857610646447686,0.582590393638929,0.5771500529297366,0.5778396595637965,0.571594417164333,0.5780339060670046,0.5784365457822358,0.583991682575582,0.5728746566795035,0.003852653314490251,0.008608205416447356,0.007921405080972166,0.00475073407513249,-0.0006896066340598139,0.0,-0.0062452423994634465,0.00019424650320809533,0.0005968862184393409,0.0061520230117855235,-0.004965002884292913
408.0,3.0392156862745097,0.5701693755838619,0.5747799230911945,0.5734017905539992,0.5707346522958643,0.5643444027115905,0.5676096079545376,0.5571440964558119,0.5653973842330713,0.5679651109951647,0.5712870537695522,0.5610605279256973,0.0025597676293243055,0.007170315136656891,0.0057921825994615705,0.003125044341326655,-0.0032652052429471556,0.0,-0.010465511498725766,-0.0022122237214663443,0.0003555030406270365,0.0036774458150146128,-0.0065490800288403594
412.0,3.0097087378640777,0.5526448916525815,0.5568948241911889,0.5555893694590472,0.5526130102286244,0.548734633403037,0.5497996122987852,0.5388505792820415,0.5475503831969328,0.5506580216041856,0.5543198109341176,0.545753590387636,0.002845279353796304,0.007095211892403697,0.005789757160262088,0.0028133979298392564,-0.001064978895748192,0.0,-0.010949033016743659,-0.0022492291018523236,0.0008584093054004871,0.004520198635332484,-0.004046021911149111
416.0,2.980769230769231,0.5354744492182575,0.5395935840249804,0.5388045549630194,0.5368404199040986,0.5327761681691059,0.5334239819024076,0.5241182079047562,0.5323727945570242,0.5355953112466505,0.5387510661661745,0.5300518972691957,0.002050467315849902,0.0061696021225727815,0.005380573060611793,0.0034164380016910023,-0.0006478137333016942,0.0,-0.009305773997651423,-0.001051187345383342,0.0021713293442429116,0.005327084263766935,-0.0033720846332119248
420.0,2.9523809523809526,0.5211950109272152,0.525279740465225,0.5247194582271275,0.5215762605899026,0.5184111447151141,0.5194540226649977,0.5102350255459944,0.5199881312006718,0.5220892265563919,0.5240695126195394,0.5165731542377752,0.0017409882622174688,0.005825717800227226,0.005265435562129772,0.002122237924904846,-0.0010428779498836693,0.0,-0.009218997119003314,0.0005341085356740383,0.0026352038913941556,0.004615489954541641,-0.0028808684272225715
424.0,2.9245283018867925,0.5081169012820912,0.5126601892957536,0.5124431728066194,0.5091176399093482,0.5052835164985257,0.5067493954155067,0.49738384799948143,0.5077252307716904,0.5095990624701447,0.5113943926134397,0.5049743491175,0.0013675058665845174,0.005910793880246956,0.005693777391112764,0.0023682444938415426,-0.0014658789169810227,0.0,-0.009365547416025244,0.0009758353561837296,0.002849667054638072,0.004644997197932987,-0.0017750462980066217
428.0,2.897196261682243,0.49539993757896106,0.5007506143188061,0.5002748295070527,0.49615839703785625,0.4918208940613009,0.4945815973020371,0.4866148263161174,0.4955140389266748,0.4977262474118611,0.4999509138955822,0.49257684330098384,0.0008183402769239567,0.006169017016768974,0.005693232205015608,0.0015767997358191455,-0.0027607032407361842,0.0,-0.007966770985919691,0.000932441624637681,0.00314465010982401,0.005369316593545115,-0.002004754001053266
432.0,2.8703703703703702,0.4841532644743267,0.4895476525064848,0.4889189993853058,0.48499825515617934,0.4816858610487931,0.48402516677778107,0.4764989364756136,0.4845539815327784,0.48726324661155407,0.4896124533475652,0.4790911590758662,0.00012809769654564818,0.00552248572870373,0.00489383260752474,0.000973088378398268,-0.002339305728987995,0.0,-0.00752623030216748,0.000528814754997331,0.003238079833773,0.005587286569784133,-0.004934007701914878
436.0,2.8440366972477062,0.47421214605728035,0.479157163471555,0.47872745916453874,0.47393819386987257,0.4714740993377673,0.47452295792028987,0.4675232709081534,0.47351656535467734,0.47718590710033126,0.4798562828583375,0.46871078553458423,-0.00031081186300951913,0.004634205551265147,0.0042045012442488705,-0.0005847640504172968,-0.0030488585825225734,0.0,-0.006999687012136491,-0.0010063925656125239,0.0026629491800413962,0.005333324938047612,-0.005812172385705638
440.0,2.8181818181818183,0.4657896656112337,0.4703923620744337,0.4706443065541508,0.46412820157547774,0.4628287006344365,0.4660834623124681,0.45925312566101795,0.46530126603380695,0.4686889478986864,0.47052631095905806,0.46147688701245415,-0.0002937967012344167,0.004308899761965579,0.004560844241682682,-0.001955260736990372,-0.0032547616780316257,0.0,-0.006830336651450164,-0.0007821962786611625,0.0026054855862183146,0.0044428486465899475,-0.00460657530001396
444.0,2.7927927927927927,0.4578169135105712,0.4625894160364885,0.46280129041591156,0.45616901345209504,0.45570588820040103,0.45856888120832107,0.45294829050338326,0.46044946518411267,0.46129689025235177,0.4639833755664784,0.45403753136513303,-0.0007519676977498779,0.0040205348281674436,0.004232409207590493,-0.002399867756226026,-0.002862993007920034,0.0,-0.005620590704937811,0.0018805839757916054,0.002728009044030699,0.005414494358157329,-0.004531349843188037
