wavelength,energy,-10_deltaA,-2_deltaA,-4_deltaA,-6_deltaA,-8_deltaA,0_deltaA,10_deltaA,2_deltaA,4_deltaA,6_deltaA,8_deltaA,-10_mdeg,-2_mdeg,-4_mdeg,-6_mdeg,-8_mdeg,0_mdeg,10_mdeg,2_mdeg,4_mdeg,6_mdeg,8_mdeg,-10_deltaA_diff,-2_deltaA_diff,-4_deltaA_diff,-6_deltaA_diff,-8_deltaA_diff,0_deltaA_diff,10_deltaA_diff,2_deltaA_diff,4_deltaA_diff,6_deltaA_diff,8_deltaA_diff
400.0,3.1,0.005407,0.00714025,0.00845075,0.0109375,0.00943625,0.00164775,-0.00099525,-0.00283175,-0.00594875,-0.0074052499999999995,-0.00527525,178.33367399999997,235.4997255,278.7226365,360.74062499999997,311.22639749999996,54.3460905,-32.8253355,-93.3967785,-196.2016725,-244.2399555,-173.9882955,0.0037592500000000004,0.0054925,0.006803,0.00928975,0.0077885,0.0,-0.002643,-0.0044795,-0.0075965,-0.009052999999999999,-0.006923
410.0,3.024390243902439,0.00512425,0.00549775,0.00741475,0.009146250000000002,0.008264750000000001,0.00063525,-0.00251025,-0.0034012499999999998,-0.00612275,-0.0070574999999999995,-0.0058345,169.0080135,181.32679050000002,244.55328450000002,301.66161750000003,272.5879845,20.951815499999995,-82.79306549999998,-112.1800275,-201.9405405,-232.770465,-192.433479,0.004489,0.0048625000000000005,0.006779500000000001,0.008511000000000001,0.007629500000000001,0.0,-0.0031455,-0.0040365,-0.006758,-0.00769275,-0.00646975
420.0,2.9523809523809526,0.0043495,0.0035007500000000004,0.0050834999999999995,0.0063827499999999995,0.0061442499999999995,0.000428,-0.0025847500000000002,-0.00221175,-0.00417825,-0.00506775,-0.0044469999999999996,143.45520900000002,115.4617365,167.663997,210.5158605,202.6496535,14.116296,-85.2502245,-72.94793849999999,-137.80704149999997,-167.14453049999997,-146.670954,0.0039215,0.0030727500000000004,0.0046555,0.00595475,0.005716249999999999,0.0,-0.0030127500000000002,-0.00263975,-0.004606249999999999,-0.005495750000000001,-0.004874999999999999
430.0,2.883720930232558,0.00348925,0.002401,0.003444,0.004458,0.00451925,0.00030153841,-0.00232275,-0.001336,-0.00273475,-0.003595,-0.0033635,115.08244350000001,79.18978200000001,113.590008,147.033756,149.0539035,9.945339838619999,-76.6089405,-44.063952,-90.1975245,-118.57029,-110.934957,0.00318771159,0.0020994615899999998,0.00314246159,0.00415646159,0.00421771159,0.0,-0.0026242884100000003,-0.00163753841,-0.0030362884100000004,-0.0038965384100000003,-0.0036650384100000003
440.0,2.8181818181818183,0.0027665,0.0017257499999999999,0.002524,0.003247,0.0033977499999999997,0.00030175,-0.00201675,-0.00094125,-0.0019255,-0.00268875,-0.0025830000000000002,91.244703,56.9186865,83.246568,107.092554,112.0645905,9.952318499999999,-66.5164485,-31.044307500000002,-63.506841,-88.6803525,-85.192506,0.00246475,0.001424,0.0022222500000000003,0.00294525,0.003096,0.0,-0.0023185,-0.001243,-0.00222725,-0.0029905,-0.00288475
450.0,2.7555555555555555,0.00230775,0.0013427500000000002,0.00193825,0.00249825,0.0026810000000000002,0.00027675,-0.0018449999999999999,-0.0006724999999999999,-0.0014437500000000002,-0.00204625,-0.002121,76.1142105,44.2865805,63.9273615,82.3972815,88.424742,9.1277685,-60.85179,-22.180395,-47.6177625,-67.4894175,-69.95482200000001,0.002031,0.001066,0.0016615000000000002,0.0022215,0.00240425,0.0,-0.00212175,-0.0009492499999999999,-0.0017205000000000002,-0.002323,-0.00239775
460.0,2.6956521739130435,0.00198725,0.0010605,0.00149775,0.0019895,0.0021467500000000002,0.00020175,-0.0016075,-0.00046600000000000005,-0.0010917499999999998,-0.0016047499999999998,-0.001732,65.5434795,34.977411000000004,49.398790500000004,65.617689,70.80410850000001,6.654118500000001,-53.018564999999995,-15.369612,-36.0080985,-52.9278645,-57.124824000000004,0.0017854999999999998,0.00085875,0.0012959999999999998,0.0017877499999999998,0.0019450000000000001,0.0,-0.00180925,-0.00066775,-0.0012935,-0.0018065,-0.0019337500000000001
470.0,2.6382978723404253,0.00163475,0.0008194999999999999,0.00116275,0.001575,0.0017322499999999998,0.00020775,-0.001327,-0.00030500000000000004,-0.00082825,-0.00123225,-0.0014045,53.9173245,27.028748999999998,38.3498205,51.946650000000005,57.1330695,6.8520105000000004,-43.767114,-10.05951,-27.317341499999998,-40.642069500000005,-46.323218999999995,0.0014269999999999999,0.0006117499999999999,0.0009549999999999999,0.00136725,0.0015244999999999998,0.0,-0.00153475,-0.0005127500000000001,-0.001036,-0.00144,-0.00161225
480.0,2.5833333333333335,0.00136575,0.00063725,0.0009155000000000001,0.0012585,0.001405,0.00017700000000000002,-0.0011155000000000002,-0.00020575,-0.00061225,-0.00093625,-0.0011182499999999999,45.0451665,21.0177795,30.195021000000004,41.507847,46.33971,5.837814,-36.791421,-6.786046499999999,-20.1932295,-30.8793975,-36.882121500000004,0.00118875,0.00046025,0.0007385,0.0010815,0.001228,0.0,-0.0012925000000000002,-0.00038275,-0.00078925,-0.00111325,-0.00129525
490.0,2.5306122448979593,0.00114175,0.00050675,0.0007192500000000001,0.0009752500000000001,0.001108,0.0001535,-0.00095175,-0.0001385,-0.0004535,-0.0007225,-0.00089675,37.65719850000001,16.7136285,23.7223035,32.1656955,36.544056,5.062737,-31.390618500000002,-4.568007000000001,-14.957336999999999,-23.829495,-29.5766085,0.00098825,0.00035325000000000005,0.0005657500000000001,0.0008217500000000001,0.0009545,0.0,-0.00110525,-0.000292,-0.000607,-0.000876,-0.00105025
500.0,2.48,0.00092775,0.000402,0.0005645,0.0007607499999999999,0.0008825,0.00013175,-0.00079975,-0.0001074732025,-0.00034925,-0.00057125,-0.000729,30.5990505,13.258764,18.618339,25.0910565,29.106614999999998,4.3453785,-26.377354500000003,-3.5446811648549996,-11.518963500000002,-18.8409675,-24.043878,0.0007959999999999999,0.00027025,0.00043275,0.0006289999999999999,0.00075075,0.0,-0.0009315,-0.0002392232025,-0.000481,-0.0007030000000000001,-0.0008607500000000001
510.0,2.4313725490196076,0.00074425,0.000312,0.000432,0.0005837500000000001,0.0006965000000000001,0.00010854063,-0.000658,-7.72362575e-05,-0.00026125,-0.00045775,-0.000581,24.546853499999997,10.290384,14.248224,19.253242500000002,22.971963000000002,3.57988705866,-21.702156,-2.547406244865,-8.6165475,-15.097510499999999,-19.162542000000002,0.00063570937,0.00020345937,0.00032345937,0.0004752093700000001,0.00058795937,0.0,-0.00076654063,-0.0001857768875,-0.00036979062999999997,-0.00056629063,-0.0006895406300000001
520.0,2.3846153846153846,0.00060075,0.00023075,0.0003285,0.00045200000000000004,0.00054225,8.53609025e-05,-0.0005515,-6.0110015e-05,-0.000205,-0.00035424999999999996,-0.00047000000000000004,19.8139365,7.6105965,10.834586999999999,14.907864,17.8844895,2.815373286255,-18.189573000000003,-1.98254851473,-6.76131,-11.6838735,-15.50154,0.0005153890975,0.0001453890975,0.0002431390975,0.00036663909750000003,0.00045688909749999997,0.0,-0.0006368609025,-0.0001454709175,-0.0002903609025,-0.00043961090249999997,-0.0005553609025
530.0,2.339622641509434,0.00047175,0.000171,0.00023775,0.000333,0.00040899999999999997,6.0018750000000005e-05,-0.00045075,-5.2724305000000006e-05,-0.00015775,-0.00027475000000000004,-0.00037575,15.5592585,5.639922,7.8414705,10.983006,13.489638,1.9795384125000002,-14.866636499999998,-1.73895302751,-5.2029105,-9.061804500000001,-12.392986500000001,0.00041173125,0.00011098125,0.00017773125000000001,0.00027298125,0.00034898125,0.0,-0.00051076875,-0.00011274305500000001,-0.00021776875,-0.00033476875000000003,-0.00043576875
