wavelength,energy,fit,1st der,2nd der
400.0,3.1,1.1989232198832571,-0.018291316580207412,-0.002539926957649809
405.0,3.061728395,1.1795333215494903,-0.02032772105922237,-0.0015746205605053588
410.0,3.024390244,1.1585497525838966,-0.021516787939230474,-0.0008381846030408712
415.0,2.987951807,1.1367122628655921,-0.022067062347507844,-0.00029082980239542424
420.0,2.952380952,1.1145711087099395,-0.02214981122503754,0.00010228309912884998
425.0,2.917647059,1.0925219272647808,-0.021903760626471112,0.0003714650242747715
430.0,2.88372093,1.0708360807147714,-0.02143942251785963,0.0005428979676906955
435.0,2.850574713,1.049686869746975,-0.02084303307767893,0.0006390126750890164
440.0,2.818181818,1.0291719940031865,-0.020180123951028545,0.0006788451503479112
445.0,2.786516854,1.0093326160723863,-0.019498747351238358,0.000678372546201682
450.0,2.755555556,0.9901693649603189,-0.018832375347471703,0.0006508289941650138
455.0,2.725274725,0.9716555949124274,-0.018202493121268423,0.0006070019293365069
460.0,2.695652174,0.9537481959612454,-0.017620905419325796,0.0005555094657267827
465.0,2.666666667,0.9363962336198862,-0.017091774874170233,0.0005030593777565536
470.0,2.638297872,0.9195476767494233,-0.016613410308726984,0.0004546902435699331
475.0,2.610526316,0.9031544547897835,-0.016179822585150078,0.0004139953058083824
480.0,2.583333333,0.8871760682612309,-0.01578206500262906,0.00038332960549057864
485.0,2.556701031,0.8715819597166221,-0.01540937469324408,0.0003640009446435749
490.0,2.530612245,0.8563528361533707,-0.015050130909295124,0.0003564452333305705
495.0,2.505050505,0.841481118278451,-0.014692645539886532,0.0003603867767206642
500.0,2.48,0.8269706769598152,-0.014325800638901655,0.0003749840578458176
505.0,2.455445545,0.8128360026932846,-0.01393954719085812,0.0003989615716905688
510.0,2.431372549,0.7991009399653064,-0.013525278785488199,0.0004307282662596042
515.0,2.40776699,0.785797104998953,-0.013076093316243698,0.0004684831462686504
520.0,2.384615385,0.7729620925331511,-0.012586955262279383,0.0005103085951040894
